Cluster,Spout_wait,Spliters,Counters,Throughput+,Latency-,d2h
0,93.51,5.0,11.51,8532.87,365.67,0.17
1,136.06,4.0,15.56,8208.95,391.6,0.19
2,367.0,6.0,18.0,6572.5,528.13,0.29
3,176.56,6.0,12.61,8078.44,409.87,0.2
4,161.0,3.0,5.29,8016.31,412.12,0.2
5,115.65,1.0,10.27,6075.66,511.51,0.33
6,265.5,5.0,1.75,7399.91,485.87,0.24
7,92.04,4.0,5.92,8708.12,363.35,0.16
8,4.14,1.0,1.43,6487.94,443.26,0.3
9,12.62,2.0,6.38,8252.19,343.98,0.19
10,6.6,6.0,4.4,8294.88,341.68,0.18
11,30.5,6.0,1.0,8693.05,338.63,0.16
12,17.75,3.0,10.25,8619.91,321.61,0.16
13,6.0,2.0,16.2,8214.58,345.34,0.19
14,115.1,3.0,15.4,8544.07,377.11,0.17
15,236.67,2.0,12.11,6802.3,492.9,0.28
16,60000.0,3.0,17.0,159.28,40940.0,0.89
