Cluster,Spout_wait,Spliters,Counters,Throughput+,Latency-,d2h
0,97.91,6.0,9.77,8418.63,368.76,0.17
1,4.67,5.0,16.67,8760.98,320.38,0.15
2,121.72,4.0,8.94,8253.83,390.03,0.18
3,4.25,5.0,4.0,9369.85,302.12,0.11
4,190.52,2.0,5.3,7024.11,478.0,0.26
5,110.3,5.0,9.75,8181.73,382.94,0.19
6,318.31,2.0,13.77,6574.89,533.06,0.29
7,203.6,1.0,1.6,5529.94,592.03,0.36
8,12.15,3.0,6.77,9128.54,309.64,0.13
9,337.0,1.0,16.11,5174.06,629.9,0.38
10,303.71,3.0,11.0,6787.24,517.4,0.28
11,213.5,1.0,11.8,6031.65,553.88,0.33
12,246.33,3.0,15.56,7598.98,454.62,0.23
13,141.62,4.0,16.75,8027.61,401.86,0.2
14,4.5,4.0,1.5,9448.43,299.96,0.11
15,187.67,3.0,1.5,7785.32,437.61,0.21
16,25.2,1.0,6.0,6425.68,445.83,0.3
17,39.67,5.0,2.0,7361.4,367.68,0.24
