Cluster,Spout_wait,Spliters,Counters,Throughput+,Latency-,d2h
0,109.74,1.0,9.93,6225.16,495.01,0.34
1,71.36,5.0,9.92,8618.14,356.35,0.2
2,98.6,4.0,8.47,8550.72,367.42,0.2
3,44.51,2.0,9.22,7886.29,375.05,0.24
4,113.35,6.0,9.55,7982.89,390.01,0.24
5,60000.0,1.0,12.0,163.5,46672.0,0.95
6,89.27,3.0,9.76,8424.14,370.93,0.21
7,10000.0,5.0,5.5,342.8,7610.38,0.7
8,60000.0,2.0,14.0,201.91,43956.29,0.93
9,10000.0,4.0,16.0,344.15,7563.3,0.7
10,60000.0,6.0,6.0,375.92,37593.67,0.86
11,10000.0,3.0,12.5,320.25,8287.7,0.7
