Cluster,Spout_wait,Spliters,Counters,Throughput+,Latency-,d2h
0,171.41,2.0,9.66,7039.45,468.69,0.29
1,85.81,1.0,14.93,6338.71,475.39,0.33
2,149.58,1.0,5.03,5566.14,562.48,0.38
3,103.13,4.0,9.23,8496.54,372.1,0.21
4,99.25,6.0,10.14,8493.08,367.19,0.21
5,140.32,3.0,9.14,8135.3,406.84,0.23
6,131.39,5.0,9.87,8240.92,394.11,0.22
7,60000.0,2.0,6.0,211.23,43446.4,0.91
8,60000.0,6.0,10.0,267.86,37172.67,0.86
9,10000.0,2.0,17.0,308.32,8327.33,0.7
10,10000.0,4.0,13.0,325.81,7817.53,0.7
11,60000.0,5.0,3.0,197.89,43866.0,0.92
