Cluster,Spout_wait,Spliters,Counters,Throughput+,Latency-,d2h
0,286.56,4.0,13.78,7580.54,480.78,0.23
1,114.77,2.0,9.64,7543.7,417.66,0.23
2,79.19,4.0,3.5,8333.41,367.45,0.18
3,12.2,1.0,15.07,6422.59,447.74,0.3
4,100.88,6.0,7.61,8810.81,357.44,0.15
5,12.38,5.0,6.23,8901.51,319.51,0.14
6,62.95,1.0,6.11,6226.12,483.56,0.31
7,60000.0,4.0,9.0,186.32,36279.0,0.85
8,288.57,3.0,2.0,7416.6,493.54,0.24
9,83.21,3.0,9.79,8210.57,372.6,0.19
10,117.0,3.0,15.56,8467.38,385.29,0.17
11,336.67,5.0,17.67,7901.8,481.77,0.21
12,10000.0,2.0,2.0,320.58,8217.73,0.7
13,204.2,6.0,17.0,8125.04,416.02,0.19
14,24.6,5.0,14.4,8572.28,325.67,0.16
