Cluster,Spout_wait,Spliters,Counters,Throughput+,Latency-,d2h
0,83.53,6.0,8.35,8586.43,357.3,0.16
1,126.34,3.0,8.94,8367.96,383.98,0.17
2,5.75,5.0,15.75,9474.54,305.64,0.1
3,203.6,5.0,5.6,7867.44,439.75,0.21
4,47.19,4.0,8.5,8982.27,330.4,0.13
5,73.41,2.0,7.19,7636.96,400.29,0.22
6,154.74,1.0,8.88,6019.18,527.48,0.33
7,279.0,5.0,8.25,6761.4,494.14,0.28
8,147.0,2.0,16.57,7404.89,437.79,0.24
9,423.8,5.0,1.8,5718.22,606.75,0.35
10,35.67,1.0,18.0,6712.5,418.84,0.28
11,20.33,5.0,11.0,9117.63,306.16,0.13
12,10000.0,2.0,14.0,314.51,8564.57,0.7
