Cluster,Spout_wait,Spliters,Counters,Throughput+,Latency-,d2h
0,203.87,2.0,14.31,6902.25,479.41,0.27
1,5.6,1.0,16.7,6558.08,428.77,0.29
2,237.56,1.0,2.22,5120.26,638.72,0.39
3,132.86,4.0,9.14,8214.51,393.85,0.19
4,71.89,6.0,15.83,8327.58,362.42,0.18
5,129.44,3.0,8.49,8105.37,399.96,0.2
6,205.8,2.0,2.0,6662.96,518.54,0.29
7,144.73,6.0,5.05,8108.71,396.87,0.2
8,114.75,5.0,13.95,8193.62,388.99,0.19
9,4.83,5.0,7.67,9699.2,287.58,0.09
10,276.0,1.0,12.75,5661.62,593.41,0.35
11,203.8,2.0,10.0,6902.16,500.78,0.27
12,5.38,5.0,2.5,8767.71,332.42,0.15
