Cluster,Spout_wait,Spliters,Counters,Throughput+,Latency-,d2h
0,14.45,4.0,15.73,9069.56,305.79,0.14
1,44.54,1.0,10.89,6387.03,459.19,0.31
2,25.2,5.0,12.4,8119.22,338.07,0.2
3,154.43,5.0,2.86,7794.41,424.3,0.22
4,150.93,2.0,3.8,6948.3,465.6,0.27
5,157.21,6.0,7.62,7906.04,414.06,0.21
6,90.57,4.0,6.96,8220.56,376.97,0.19
7,34.33,3.0,7.0,8854.6,319.63,0.15
8,13.6,3.0,15.9,9765.92,284.91,0.09
9,154.0,6.0,17.0,7641.18,402.53,0.23
10,103.23,5.0,8.62,7979.69,377.67,0.21
11,6.14,5.0,16.29,9145.31,310.78,0.13
12,5.86,3.0,10.0,9234.3,300.42,0.13
13,147.71,2.0,14.43,7235.71,435.56,0.25
14,104.8,3.0,2.3,8344.82,386.11,0.18
15,20.83,2.0,10.67,7832.35,365.79,0.22
16,6.5,4.0,1.0,9685.67,302.73,0.1
17,3.75,1.0,1.25,5978.07,523.59,0.33
