Cluster,Spout_wait,Spliters,Counters,Throughput+,Latency-,d2h
0,88.42,4.0,9.2,8508.42,366.04,0.17
1,167.11,2.0,3.37,6944.12,477.1,0.27
2,78.16,1.0,9.58,6404.59,469.68,0.3
3,95.21,3.0,9.09,8397.13,377.96,0.17
4,114.07,6.0,9.53,8125.55,385.1,0.19
5,113.51,5.0,8.74,8328.36,383.38,0.18
6,10000.0,5.0,7.5,357.99,7530.15,0.7
7,94.43,2.0,12.37,7521.13,408.82,0.23
8,10000.0,1.0,17.0,301.54,8728.3,0.71
9,10000.0,2.0,12.0,335.23,8309.6,0.7
10,60000.0,1.0,12.0,163.5,46672.0,0.94
11,10000.0,3.0,16.0,324.78,8391.5,0.7
12,60000.0,1.0,16.0,196.76,45459.0,0.92
13,60000.0,5.0,13.0,251.89,33895.67,0.83
14,10000.0,6.0,14.5,401.02,6624.3,0.7
15,60000.0,4.0,15.0,284.08,33750.33,0.83
