Cluster,Spout_wait,Spliters,Counters,Throughput+,Latency-,d2h
0,113.42,6.0,9.56,8272.77,380.96,0.22
1,49.34,1.0,4.55,6220.22,473.39,0.34
2,93.95,5.0,10.13,8288.14,374.76,0.22
3,85.94,4.0,9.41,8395.08,368.35,0.21
4,127.0,2.0,9.29,7420.11,428.94,0.27
5,115.28,3.0,11.23,8422.53,378.24,0.21
6,204.7,1.0,16.45,5526.44,564.22,0.38
7,153.71,1.0,11.71,6478.96,502.98,0.33
8,194.64,3.0,1.73,8220.63,424.8,0.22
9,60000.0,2.0,7.0,209.1,48039.2,0.92
10,10000.0,1.0,12.0,286.6,8585.77,0.7
11,60000.0,4.0,12.0,199.81,37058.33,0.84
12,10000.0,4.0,14.0,339.81,7853.17,0.7
