Cluster,Spout_wait,Spliters,Counters,Throughput+,Latency-,d2h
0,103.73,4.0,15.55,8372.36,376.58,0.18
1,84.98,1.0,8.88,6290.82,481.2,0.31
2,115.44,5.0,14.33,8847.84,370.59,0.15
3,145.06,2.0,11.0,7051.17,451.83,0.27
4,145.86,3.0,11.68,8107.27,409.23,0.2
5,23.0,5.0,2.67,7844.78,375.81,0.22
6,15.57,6.0,11.03,8928.69,317.21,0.15
7,56.76,4.0,7.08,8755.14,344.42,0.16
8,21.5,5.0,10.0,9233.68,307.6,0.13
9,130.13,3.0,2.62,8351.8,393.15,0.18
10,21.5,2.0,1.33,8166.62,358.17,0.19
11,254.5,3.0,18.0,8180.25,448.04,0.19
12,37.67,5.0,6.33,7998.3,343.5,0.21
13,10000.0,1.0,7.0,303.24,8640.97,0.71
