Cluster,Spouts,Max_spout,Sorters,Emit_freq,Chunk_size,Message_size,Throughput+,Latency-,d2h
0,1.0,343.85,8.26,50.75,1129914.53,5153.85,36865.42,896.89,0.59
1,1.0,10000.0,8.95,43.28,1130000.0,5050.0,123599.44,4920.4,0.33
2,1.0,306.67,8.81,300.0,1066666.67,4000.0,33422.59,931.44,0.6
3,3.0,358.9,8.47,37.44,1187671.23,100000.0,46578.55,1952.41,0.56
4,3.0,380.29,7.14,300.0,1065714.29,5885.71,49041.14,1088.97,0.55
5,3.0,261.5,7.93,47.38,1052336.45,4869.16,38241.07,1113.79,0.58
6,3.0,392.98,7.72,57.74,10000000.0,6361.7,44777.59,1254.36,0.56
7,1.0,375.29,8.04,46.24,798529.41,100000.0,36674.49,2264.67,0.59
8,3.0,463.91,7.57,49.39,10000000.0,100000.0,49620.25,2480.52,0.55
9,3.0,70.0,14.0,300.0,10000000.0,100000.0,28123.33,64.02,0.62
10,3.0,10000.0,8.5,59.24,952941.18,4705.88,168665.37,3317.64,0.18
11,1.0,323.85,7.74,48.92,10000000.0,4692.31,31836.29,185.45,0.6
12,3.0,10000.0,14.63,10.62,1275000.0,100000.0,201500.0,1126.76,0.06
13,1.0,10000.0,4.0,81.67,10000000.0,100000.0,89405.0,9615.92,0.46
14,1.0,10000.0,15.75,300.0,1025000.0,7750.0,157250.0,429.59,0.2
15,1.0,312.14,7.79,39.79,10000000.0,100000.0,24763.71,2340.39,0.63
16,1.0,10000.0,4.0,28.2,10000000.0,6400.0,50896.22,11778.53,0.59
17,1.0,370.0,4.89,300.0,1355555.56,100000.0,36350.82,343.52,0.59
18,1.0,190.0,3.85,300.0,10000000.0,5153.85,23983.25,592.68,0.63
19,1.0,10000.0,13.0,300.0,10000000.0,4000.0,148333.33,602.06,0.23
20,3.0,10000.0,15.0,300.0,840000.0,100000.0,209200.0,1119.94,0.04
21,1.0,520.0,6.5,300.0,10000000.0,100000.0,30139.1,5028.54,0.62
22,3.0,310.0,8.17,300.0,988888.89,100000.0,37862.97,1035.18,0.59
23,1.0,10000.0,7.16,28.79,1378947.37,100000.0,107064.22,8098.2,0.4
24,3.0,10000.0,3.25,300.0,1025000.0,100000.0,152694.6,5739.02,0.25
25,1.0,10000.0,13.5,75.25,10000000.0,3250.0,137500.0,502.27,0.27
26,3.0,10000.0,9.91,300.0,954545.45,5909.09,188140.74,2709.55,0.12
27,3.0,40.0,13.0,300.0,10000000.0,4000.0,20020.0,52.83,0.64
28,1.0,10000.0,3.27,300.0,872727.27,6727.27,90741.46,9531.19,0.46
29,1.0,10000.0,16.0,100.0,10000000.0,100000.0,152666.67,567.05,0.22
30,3.0,10000.0,1.75,47.75,912500.0,100000.0,33799.07,11087.24,0.64
31,3.0,10000.0,2.75,75.25,10000000.0,7750.0,65241.53,8962.02,0.53
32,3.0,10000.0,1.33,26.67,10000000.0,100000.0,7803.5,14825.57,0.75
33,3.0,10000.0,3.33,300.0,10000000.0,100000.0,143364.83,6640.2,0.28
34,1.0,10000.0,3.33,300.0,10000000.0,100000.0,94737.93,10909.81,0.46
