Cluster,Spouts,Max_spout,Sorters,Emit_freq,Chunk_size,Message_size,Throughput+,Latency-,d2h
0,1.0,329.09,8.14,37.0,10000000.0,5909.09,33618.44,1119.89,0.6
1,3.0,441.69,8.66,52.41,872881.36,5728.81,55791.38,961.14,0.53
2,1.0,374.29,9.98,53.1,1047619.05,5285.71,39957.14,270.93,0.58
3,1.0,335.38,2.92,300.0,884615.38,5153.85,18672.92,1002.67,0.65
4,3.0,10000.0,1.75,30.5,1525000.0,100000.0,56017.53,11047.88,0.58
5,1.0,10000.0,9.48,50.1,938095.24,4000.0,111225.9,5795.31,0.37
6,3.0,482.5,6.8,46.15,1130000.0,100000.0,30236.04,6115.89,0.62
7,3.0,302.5,6.0,300.0,10000000.0,3250.0,53572.5,96.25,0.53
8,3.0,494.62,7.23,300.0,953846.15,5153.85,54686.8,2367.21,0.53
9,1.0,460.0,13.71,300.0,900000.0,6142.86,45515.14,63.12,0.56
10,3.0,426.25,3.38,300.0,1162500.0,100000.0,31510.28,6634.16,0.62
11,3.0,10000.0,9.14,53.09,1036363.64,5909.09,166386.12,3971.45,0.19
12,3.0,488.64,9.86,54.32,10000000.0,5090.91,63656.36,182.6,0.5
13,1.0,325.0,3.5,47.75,10000000.0,100000.0,27520.35,2325.44,0.62
14,1.0,10000.0,2.5,13.83,1033333.33,100000.0,64758.43,15710.81,0.6
15,3.0,10000.0,1.67,300.0,1333333.33,7000.0,11264.57,14978.03,0.75
16,1.0,293.85,2.54,38.92,1323076.92,100000.0,14575.48,5035.45,0.67
17,1.0,570.77,14.54,27.23,1030769.23,100000.0,50166.77,73.17,0.54
18,3.0,400.0,2.67,300.0,10000000.0,100000.0,57589.67,2894.17,0.52
19,3.0,370.0,8.78,17.11,10000000.0,100000.0,41761.38,2428.86,0.57
20,1.0,10000.0,7.0,23.67,10000000.0,7000.0,126333.33,422.19,0.3
21,3.0,370.0,15.0,300.0,733333.33,100000.0,61298.0,95.33,0.51
22,1.0,370.0,3.0,300.0,100000.0,100000.0,49171.67,38.57,0.55
23,3.0,10000.0,2.0,63.33,10000000.0,100000.0,76994.77,9319.2,0.5
