Cluster,Spouts,Max_spout,Sorters,Emit_freq,Chunk_size,Message_size,Throughput+,Latency-,d2h
0,1.0,10000.0,6.0,4.0,400000.0,100000.0,137000.0,386.81,0.28
1,3.0,40.0,1.0,60.0,400000.0,7000.0,2675.55,1307.8,0.7
2,1.0,280.0,9.0,3.25,10000000.0,5500.0,39053.5,38.9,0.58
3,1.0,670.0,1.0,7.0,2000000.0,10000.0,2664.98,13394.25,0.75
4,1.0,10000.0,6.0,7.0,700000.0,1000.0,133666.67,349.33,0.29
5,3.0,460.0,9.0,7.0,400000.0,7000.0,70891.89,99.08,0.48
6,3.0,406.0,18.0,6.4,10000000.0,4600.0,48121.68,214.24,0.56
7,1.0,700.0,18.0,10.0,10000000.0,4000.0,46966.33,103.76,0.56
8,1.0,550.0,2.5,120.0,2000000.0,1000.0,34596.5,290.39,0.6
9,3.0,295.0,1.5,4.0,475000.0,4000.0,14576.34,3045.74,0.66
10,1.0,318.57,1.86,300.0,10000000.0,4857.14,19911.63,1090.63,0.65
11,1.0,285.62,1.94,4.94,437500.0,4937.5,18394.46,2424.52,0.65
12,3.0,280.0,9.0,60.0,1000000.0,3250.0,49104.0,71.98,0.55
13,3.0,400.0,2.67,120.0,2000000.0,100000.0,61920.67,2644.17,0.52
14,3.0,10000.0,18.0,7.0,700000.0,7000.0,210666.67,1157.2,0.05
15,1.0,202.86,18.0,7.43,485714.29,7428.57,31854.71,39.26,0.61
16,3.0,55.0,1.25,300.0,775000.0,100000.0,2909.65,10077.4,0.73
17,1.0,10000.0,2.25,3.25,10000000.0,100000.0,68561.85,15662.93,0.59
18,3.0,10000.0,6.0,4.0,400000.0,10000.0,200666.67,1108.17,0.08
19,1.0,370.0,2.33,60.0,1000000.0,1000.0,24715.2,317.66,0.63
20,3.0,270.0,2.11,300.0,2000000.0,5000.0,38775.41,640.75,0.59
21,1.0,40.0,6.0,4.0,1000000.0,100000.0,36196.67,8.03,0.59
22,3.0,588.57,6.0,3.57,742857.14,6142.86,84461.14,119.42,0.44
23,1.0,40.0,12.0,300.0,2000000.0,7000.0,38115.67,7.93,0.59
24,3.0,244.0,1.4,8.2,2000000.0,4600.0,10608.05,1015.03,0.67
25,1.0,485.71,2.29,300.0,614285.71,100000.0,22093.14,5956.16,0.65
26,1.0,340.0,18.0,120.0,100000.0,4000.0,45422.33,39.82,0.56
27,3.0,40.0,9.0,1.0,2000000.0,4000.0,24439.67,33.2,0.63
28,1.0,32.5,15.0,5.5,2000000.0,3250.0,36187.5,6.4,0.59
29,3.0,340.0,12.0,120.0,400000.0,100000.0,51660.33,75.69,0.54
30,3.0,622.0,18.0,6.4,820000.0,10000.0,80221.4,148.14,0.46
31,1.0,370.0,2.17,5.5,10000000.0,100000.0,12003.91,3128.84,0.67
32,3.0,235.0,12.0,5.5,850000.0,7000.0,49824.17,76.75,0.55
33,1.0,40.0,1.33,60.0,2000000.0,100000.0,923.1,672.46,0.7
34,3.0,370.0,9.0,7.0,700000.0,100000.0,62306.67,86.02,0.51
35,1.0,64.0,6.0,6.4,460000.0,4600.0,37841.2,12.29,0.59
36,1.0,802.0,2.0,6.4,640000.0,100000.0,15094.23,9268.48,0.69
