Cluster,Spouts,Max_spout,Sorters,Emit_freq,Chunk_size,Message_size,Throughput+,Latency-,d2h
0,1.0,70.0,12.0,7.0,400000.0,7000.0,37781.33,13.16,0.59
1,3.0,40.0,15.0,120.0,400000.0,7000.0,21116.67,37.81,0.64
2,3.0,64.0,1.6,4.6,2000000.0,1000.0,14248.06,182.93,0.66
3,3.0,1000.0,6.0,7.0,10000000.0,4000.0,122666.67,208.8,0.32
4,1.0,700.0,9.0,4.0,2000000.0,7000.0,64885.33,69.8,0.5
5,3.0,10000.0,2.33,4.0,10000000.0,7000.0,82416.0,6955.67,0.47
6,1.0,280.0,12.0,7.75,2000000.0,5500.0,43196.25,39.12,0.57
7,3.0,82.0,3.0,6.4,280000.0,4600.0,35155.6,56.07,0.6
8,1.0,35.71,1.57,3.57,357142.86,7428.57,10429.8,38.42,0.67
9,3.0,527.5,6.0,3.25,2000000.0,7750.0,73895.0,118.49,0.47
10,3.0,700.0,6.0,4.0,100000.0,7000.0,98139.33,142.66,0.39
11,3.0,77.5,2.0,120.0,325000.0,1000.0,20300.05,157.74,0.64
12,3.0,77.5,12.0,300.0,550000.0,7750.0,31833.0,54.01,0.61
13,3.0,10000.0,2.33,4.0,2000000.0,10000.0,84320.33,7265.97,0.46
14,1.0,10000.0,9.0,60.0,700000.0,4000.0,143333.33,367.03,0.25
15,3.0,424.0,1.6,60.0,10000000.0,8200.0,16458.11,6859.34,0.67
16,1.0,370.0,15.0,7.0,1000000.0,1000.0,45052.33,50.71,0.56
17,1.0,40.0,1.67,4.0,700000.0,100000.0,380.24,682.18,0.71
18,1.0,40.0,6.0,1.0,700000.0,7000.0,37843.0,7.8,0.59
19,1.0,670.0,2.33,7.0,2000000.0,10000.0,27180.77,1989.78,0.62
