Cluster,Spouts,Max_spout,Sorters,Emit_freq,Chunk_size,Message_size,Throughput+,Latency-,d2h
0,3.0,387.42,9.97,300.0,1154838.71,5935.48,58475.71,218.3,0.53
1,1.0,326.1,8.24,49.66,1091056.91,5024.39,36035.6,767.32,0.6
2,1.0,426.84,7.33,41.34,1093421.05,100000.0,33990.1,1990.26,0.61
3,1.0,10000.0,15.67,31.33,511111.11,100000.0,155000.0,410.5,0.23
4,3.0,347.5,8.56,49.51,1066666.67,5875.0,47745.21,1280.66,0.56
5,3.0,345.22,8.39,46.33,1113043.48,100000.0,41679.43,3417.48,0.59
6,1.0,670.0,3.0,300.0,10000000.0,7000.0,60601.67,70.32,0.52
7,3.0,329.74,9.29,40.58,10000000.0,5736.84,42728.51,1065.41,0.58
8,1.0,10000.0,3.0,67.36,1027272.73,100000.0,86788.4,11110.91,0.5
9,3.0,10000.0,7.78,48.59,946875.0,5781.25,149873.17,4279.88,0.27
10,1.0,10000.0,8.94,45.91,1082352.94,5500.0,114226.05,5648.41,0.38
11,1.0,359.71,7.34,300.0,1148571.43,5114.29,35234.63,910.28,0.6
12,3.0,260.0,13.33,300.0,811111.11,100000.0,47090.0,76.1,0.56
13,3.0,10000.0,8.8,300.0,1130000.0,4600.0,149698.96,6157.19,0.28
14,1.0,280.0,3.88,300.0,1275000.0,100000.0,23079.08,1046.32,0.64
15,3.0,566.36,7.82,56.18,10000000.0,100000.0,64018.04,3598.14,0.52
16,1.0,367.86,9.29,56.38,10000000.0,5714.29,32420.98,836.14,0.61
17,1.0,10000.0,9.65,300.0,588235.29,5764.71,134394.66,3613.18,0.31
18,3.0,550.0,5.0,300.0,10000000.0,100000.0,49251.7,1974.51,0.56
19,3.0,10000.0,3.9,56.2,930000.0,100000.0,127817.77,6194.38,0.35
20,3.0,447.14,2.29,300.0,1442857.14,100000.0,24503.4,6146.47,0.65
21,1.0,10000.0,17.25,18.0,10000000.0,5500.0,125093.75,568.6,0.33
22,1.0,10000.0,6.12,68.88,10000000.0,100000.0,98516.54,6989.11,0.43
23,1.0,480.0,2.56,37.0,10000000.0,100000.0,12349.16,3379.52,0.67
24,1.0,10000.0,13.0,300.0,1033333.33,100000.0,158333.33,402.0,0.22
25,1.0,355.0,13.0,53.5,10000000.0,100000.0,43181.67,45.69,0.58
26,1.0,10000.0,8.14,63.0,10000000.0,3571.43,132571.43,442.81,0.3
27,3.0,370.0,2.0,300.0,10000000.0,7000.0,33562.93,463.06,0.61
28,3.0,10000.0,16.33,61.33,1033333.33,100000.0,204777.78,1130.78,0.09
29,3.0,10000.0,3.0,42.0,10000000.0,4600.0,131080.36,6204.32,0.34
30,3.0,10000.0,4.33,300.0,10000000.0,4000.0,135770.6,9234.53,0.36
31,1.0,10000.0,3.67,300.0,10000000.0,100000.0,94604.43,9473.47,0.47
32,3.0,10000.0,18.0,23.67,10000000.0,100000.0,171000.0,1668.43,0.19
33,3.0,10000.0,3.5,47.75,10000000.0,100000.0,155807.5,3023.88,0.24
