Cluster,Spouts,Max_spout,Sorters,Emit_freq,Chunk_size,Message_size,Throughput+,Latency-,d2h
0,3.0,685.0,1.67,4.0,2000000.0,10000.0,40012.55,7862.55,0.6
1,1.0,700.0,9.0,7.0,2000000.0,100000.0,62482.67,72.24,0.5
2,1.0,424.0,2.0,6.4,2000000.0,100000.0,21758.34,6905.56,0.65
3,1.0,550.0,6.0,7.75,325000.0,100000.0,56076.5,56.13,0.53
4,1.0,370.0,3.0,120.0,2000000.0,7000.0,50341.0,42.06,0.54
5,3.0,70.0,18.0,300.0,1000000.0,7000.0,29968.33,53.3,0.61
6,1.0,775.0,6.0,5.5,10000000.0,5500.0,59286.25,94.81,0.52
7,3.0,205.0,1.5,1.0,850000.0,7000.0,7615.22,1455.72,0.68
8,1.0,40.0,9.0,7.0,1000000.0,7000.0,37580.67,8.2,0.59
9,1.0,1000.0,3.0,7.0,400000.0,4000.0,73025.33,101.38,0.47
10,1.0,70.0,18.0,300.0,1000000.0,7000.0,26631.0,29.33,0.62
11,3.0,1000.0,15.0,4.0,400000.0,10000.0,133333.33,184.98,0.27
12,3.0,77.5,2.75,60.0,325000.0,5500.0,29470.5,71.91,0.61
13,1.0,257.5,9.0,120.0,550000.0,3250.0,47089.25,21.75,0.55
14,3.0,752.5,6.0,7.75,775000.0,7750.0,102690.25,141.96,0.37
15,3.0,40.0,1.67,120.0,400000.0,100000.0,5491.04,4001.59,0.69
16,1.0,64.0,12.0,6.4,460000.0,4600.0,38340.8,12.59,0.58
17,3.0,10000.0,1.67,4.0,1000000.0,10000.0,12042.23,11776.93,0.71
18,1.0,527.5,15.0,5.5,775000.0,3250.0,48096.5,66.64,0.55
19,1.0,550.0,2.0,5.5,1000000.0,100000.0,10654.64,10334.92,0.71
20,1.0,670.0,2.33,300.0,100000.0,10000.0,28599.97,2091.9,0.62
