Cluster,No_mbtree,No_asm,No_cabac,No_scenecut,Aq_strength,Bframes,Qcomp,Qp,Ref,Rc_lookahead,B_bias,Threads,Keyint,Crf,Scenecut,Seek,Ipratio,PSNR-,Energy-,d2h
0,0.0,0.0,0.0,1.0,1.06,13.34,0.61,25.38,4.4,126.23,3.83,65.68,508.71,29.16,51.6,643.02,1.04,44.62,964.52,0.285
1,0.0,1.0,0.0,0.0,1.06,12.95,0.61,25.84,4.53,124.35,-2.47,65.25,497.16,29.73,51.77,604.67,1.04,43.85,3343.76,0.339
2,0.0,1.0,0.0,1.0,1.17,2.33,0.67,23.0,2.5,40.0,0.0,4.0,208.5,23.0,33.5,0.0,1.5,47.07,6682.38,0.854
3,0.0,0.0,1.0,0.0,1.04,13.09,0.59,26.22,4.54,129.63,0.15,61.18,498.31,29.48,49.85,630.44,1.08,44.25,975.21,0.245
4,1.0,0.0,0.0,0.0,1.05,12.97,0.6,24.99,4.44,131.4,3.71,63.29,496.0,29.71,53.26,629.3,1.01,46.77,993.28,0.517
5,0.0,0.0,0.0,0.0,1.04,12.8,0.58,26.17,4.52,123.01,-1.01,61.56,505.6,29.85,49.98,619.88,1.08,43.77,1004.72,0.193
6,0.0,0.0,1.0,0.0,0.94,2.83,0.54,20.78,3.0,35.06,21.39,4.11,255.61,22.58,36.56,0.0,1.28,46.31,2062.44,0.484
7,0.0,0.0,0.0,0.0,1.25,3.27,0.54,23.2,3.0,41.6,-2.8,4.8,261.4,27.28,41.8,0.0,1.19,41.98,2059.94,0.125
8,0.0,0.0,0.0,1.0,0.98,3.58,0.65,23.54,2.87,36.79,-2.87,5.33,296.08,27.05,45.13,0.33,1.31,43.64,1969.69,0.213
9,1.0,0.0,0.0,0.0,1.17,3.07,0.59,28.5,3.14,38.07,6.0,4.43,247.21,21.01,31.21,0.0,1.32,48.53,2542.3,0.73
10,0.0,1.0,0.0,0.0,0.92,2.96,0.62,24.74,3.04,41.65,-16.04,4.26,249.65,23.56,39.96,0.0,1.3,44.68,7145.92,0.765
