Cluster,No_mbtree,No_asm,No_cabac,No_scenecut,Aq_strength,Bframes,Qcomp,Qp,Ref,Rc_lookahead,B_bias,Threads,Keyint,Crf,Scenecut,Seek,Ipratio,PSNR-,Energy-,d2h
0,0.0,0.0,1.0,0.0,1.04,13.1,0.6,25.74,4.49,127.11,0.03,63.62,501.34,29.96,50.08,630.65,1.05,43.91,978.34,0.202
1,0.0,0.0,0.0,1.0,1.07,12.65,0.6,25.85,4.63,124.26,-0.01,65.79,484.3,29.94,51.05,614.84,1.07,43.94,1016.15,0.207
2,0.0,1.0,0.0,0.0,1.09,13.02,0.6,25.01,4.73,126.87,2.8,64.59,486.98,30.14,50.79,635.19,1.03,43.84,3066.46,0.298
3,1.0,0.0,0.0,0.0,1.07,3.11,0.63,21.89,3.0,39.17,-2.89,4.44,259.5,27.23,43.67,0.0,1.51,45.61,2051.73,0.526
4,1.0,0.0,0.0,0.0,1.06,13.07,0.58,25.9,4.58,126.63,1.87,62.34,496.14,30.05,50.04,632.9,1.05,46.67,993.93,0.707
5,0.0,0.0,0.0,0.0,1.01,13.06,0.61,25.1,4.54,126.29,-2.44,66.29,511.55,30.13,51.48,625.85,1.06,43.93,1011.34,0.205
6,0.0,0.0,1.0,0.0,1.08,3.12,0.72,26.53,3.18,41.47,18.47,4.94,239.0,25.56,45.18,0.0,1.54,45.63,1889.91,0.526
7,0.0,0.0,0.0,0.0,0.99,3.08,0.65,25.77,2.77,40.92,-25.08,4.46,247.0,28.01,33.54,0.0,1.28,42.81,1912.46,0.103
8,0.0,1.0,0.0,0.0,1.02,2.91,0.64,19.78,3.09,37.13,3.65,3.91,248.3,24.09,41.43,0.0,1.26,44.31,7392.35,0.759
9,0.0,0.0,0.0,1.0,0.93,3.25,0.61,19.5,3.38,39.25,16.13,4.25,245.13,24.39,44.13,0.0,1.29,43.74,1962.1,0.202
