Cluster,No_mbtree,No_asm,No_cabac,No_scenecut,Aq_strength,Bframes,Qcomp,Qp,Ref,Rc_lookahead,B_bias,Threads,Keyint,Crf,Scenecut,Seek,Ipratio,PSNR-,Energy-,d2h
0,0.0,0.0,0.0,0.0,1.06,12.66,0.59,25.77,4.48,124.5,4.29,65.55,503.51,30.1,50.89,633.26,1.0,43.84,984.32,0.107
1,1.0,0.0,0.0,0.0,1.07,13.31,0.61,25.83,4.62,124.92,0.75,65.02,510.06,29.95,49.07,637.04,1.01,46.64,986.73,0.644
2,0.0,0.0,1.0,0.0,1.03,13.12,0.58,24.37,4.47,127.31,-3.3,62.85,508.05,30.11,50.3,641.75,1.01,43.8,947.02,0.1
3,0.0,1.0,0.0,0.0,1.05,13.24,0.6,25.22,4.45,124.12,1.77,65.28,510.14,30.9,50.74,636.04,1.06,43.3,2960.88,0.201
4,0.0,0.0,0.0,0.0,0.96,3.19,0.64,23.31,3.06,40.19,9.87,4.0,245.12,25.26,41.69,0.0,1.2,43.71,1934.8,0.128
5,0.0,1.0,0.0,0.0,1.0,2.86,0.63,18.68,3.18,38.86,15.05,4.45,249.64,23.0,38.18,0.0,1.33,46.23,7315.02,0.85
6,0.0,0.0,0.0,1.0,1.05,12.77,0.6,25.02,4.47,128.51,-0.22,64.31,505.02,29.5,52.08,646.76,1.05,44.35,960.48,0.205
7,0.0,0.0,1.0,0.0,1.08,2.92,0.63,23.75,3.25,32.83,2.5,4.5,258.42,22.38,44.58,0.0,1.28,45.9,2156.16,0.516
8,1.0,0.0,0.0,0.0,1.07,3.05,0.58,29.68,2.84,42.42,16.53,4.63,266.37,24.56,44.63,0.0,1.31,46.97,2121.46,0.717
9,0.0,1.0,0.0,0.0,1.0,3.0,0.6,23.0,3.0,40.0,16.67,2.67,250.0,25.33,100.0,0.0,1.17,43.28,8039.05,0.707
10,0.0,0.0,0.0,1.0,0.96,3.15,0.62,20.7,2.95,39.8,-0.7,4.3,262.05,25.65,39.95,0.0,1.35,44.79,1929.24,0.305
