Cluster,No_mbtree,No_asm,No_cabac,No_scenecut,Aq_strength,Bframes,Qcomp,Qp,Ref,Rc_lookahead,B_bias,Threads,Keyint,Crf,Scenecut,Seek,Ipratio,PSNR-,Energy-,d2h
0,0.0,0.0,1.0,0.0,1.05,13.06,0.59,24.88,4.52,127.31,1.9,65.72,500.5,30.29,51.39,625.57,1.03,43.59,971.17,0.2
1,1.0,0.0,0.0,0.0,1.06,12.65,0.62,24.83,4.46,124.25,-0.97,66.86,512.15,30.58,50.74,625.66,1.06,46.13,983.63,0.505
2,0.0,0.0,0.0,0.0,1.01,13.07,0.59,26.09,4.49,128.06,-1.23,64.13,493.33,29.8,49.63,636.02,1.1,43.93,981.01,0.241
3,0.0,1.0,0.0,0.0,0.91,3.53,0.54,25.53,2.47,37.07,-7.8,5.13,259.47,27.49,41.0,0.0,1.43,41.92,6000.86,0.707
4,0.0,0.0,0.0,1.0,1.02,12.93,0.6,24.77,4.59,130.08,4.14,64.85,490.78,30.25,51.49,623.76,1.05,43.7,992.83,0.214
5,0.0,1.0,0.0,0.0,1.08,13.55,0.58,25.43,4.61,124.5,3.9,64.38,495.95,30.58,50.71,609.63,1.08,43.16,3116.0,0.336
6,0.0,0.0,0.0,1.0,0.66,3.36,0.64,20.91,3.27,40.55,15.27,5.09,288.18,21.47,46.0,0.0,1.43,47.81,2358.77,0.734
7,0.0,0.0,1.0,0.0,1.1,2.74,0.64,24.63,2.89,32.42,1.53,3.68,234.84,21.53,39.68,0.0,1.28,46.8,2187.27,0.61
8,1.0,0.0,0.0,0.0,1.16,3.1,0.57,23.75,2.95,40.7,12.05,4.7,274.5,27.0,39.95,0.0,1.46,45.62,2148.63,0.474
9,0.0,0.0,0.0,0.0,1.0,3.44,0.58,18.89,2.56,34.44,9.44,4.22,233.56,25.06,46.11,0.0,1.31,45.51,1699.9,0.443
