Cluster,No_mbtree,No_asm,No_cabac,No_scenecut,Aq_strength,Bframes,Qcomp,Qp,Ref,Rc_lookahead,B_bias,Threads,Keyint,Crf,Scenecut,Seek,Ipratio,PSNR-,Energy-,d2h
0,0.0,0.0,1.0,0.0,1.06,12.89,0.61,26.11,4.35,119.79,3.47,65.08,501.38,30.66,50.56,608.7,1.05,43.35,983.07,0.332
1,0.0,0.0,0.0,0.0,1.06,12.8,0.59,25.95,4.53,128.61,-0.56,65.13,531.65,30.79,48.71,625.99,1.07,43.59,1000.27,0.356
2,0.0,1.0,0.0,0.0,1.08,13.04,0.61,25.32,4.3,125.77,0.49,63.67,525.36,30.45,49.4,617.95,1.04,43.44,3124.33,0.441
3,1.0,0.0,0.0,0.0,1.04,13.01,0.6,25.28,4.41,125.11,-0.78,63.57,495.41,29.3,49.54,610.05,1.05,46.81,1045.51,0.673
4,0.0,0.0,0.0,1.0,1.07,13.43,0.58,25.34,4.55,129.99,5.83,65.73,507.92,30.67,51.45,628.33,1.09,43.34,963.47,0.331
5,0.0,0.0,1.0,0.0,0.93,3.0,0.38,19.5,3.38,44.13,10.5,4.75,276.25,27.76,39.25,0.0,0.94,39.97,1853.29,0.115
6,0.0,1.0,0.0,0.0,1.06,3.0,0.68,23.6,3.1,32.3,5.6,4.4,214.2,23.74,38.3,0.0,1.53,46.53,6425.93,0.957
7,0.0,0.0,0.0,0.0,1.12,3.0,0.5,20.6,2.8,40.2,0.2,4.8,228.2,21.88,36.6,0.0,1.42,47.16,1847.95,0.716
8,1.0,0.0,0.0,0.0,1.24,3.09,0.5,26.82,2.55,36.55,5.09,4.0,172.18,28.58,38.45,0.0,1.45,43.73,1632.87,0.38
9,0.0,0.0,0.0,1.0,0.96,2.71,0.54,23.29,3.0,43.29,8.14,5.14,290.0,32.83,46.29,0.0,1.43,40.59,1689.69,0.112
