Cluster,No_mbtree,No_asm,No_cabac,No_scenecut,Aq_strength,Bframes,Qcomp,Qp,Ref,Rc_lookahead,B_bias,Threads,Keyint,Crf,Scenecut,Seek,Ipratio,PSNR-,Energy-,d2h
0,0.0,0.0,1.0,0.0,1.05,13.07,0.61,25.76,4.42,122.6,-3.9,63.99,505.37,29.79,49.29,632.55,1.05,44.05,980.72,0.339
1,0.0,0.0,0.0,1.0,1.05,13.22,0.6,25.5,4.62,125.62,1.88,63.89,504.36,29.3,51.57,612.84,1.03,44.22,1025.87,0.353
2,0.0,1.0,0.0,0.0,1.04,12.77,0.58,25.19,4.48,123.84,1.05,64.46,500.06,29.22,50.85,628.48,1.05,44.3,3132.75,0.442
3,1.0,0.0,0.0,0.0,1.04,12.87,0.58,25.35,4.38,126.53,1.57,63.66,505.8,30.26,49.51,651.37,1.07,46.91,917.3,0.569
4,0.0,0.0,0.0,0.0,1.08,12.96,0.58,25.69,4.5,127.27,1.49,65.72,519.15,29.92,51.16,613.37,1.06,43.76,1023.68,0.316
5,0.0,0.0,0.0,1.0,1.01,3.25,0.7,18.81,2.94,32.81,-6.12,4.0,251.94,22.3,35.44,0.0,1.49,47.44,2199.33,0.629
6,0.0,1.0,0.0,0.0,1.04,3.15,0.54,20.15,3.08,39.38,6.54,4.46,238.62,28.58,44.23,0.0,1.17,39.83,6043.63,0.597
7,0.0,0.0,1.0,0.0,0.92,3.0,0.58,21.56,3.22,35.28,12.83,4.78,263.39,24.49,37.78,0.0,1.27,43.86,2059.74,0.35
8,1.0,0.0,0.0,0.0,0.98,2.91,0.6,26.82,3.27,34.82,1.18,5.09,265.55,26.29,46.0,0.0,1.42,46.22,2075.24,0.531
9,1.0,0.0,0.0,0.0,1.0,2.67,0.6,23.0,3.0,40.0,-16.67,4.0,1000.0,20.83,40.0,0.0,1.17,48.63,2698.53,0.737
10,0.0,0.0,0.0,0.0,1.12,3.08,0.64,22.92,3.23,42.62,10.0,4.46,219.46,25.5,38.23,0.0,1.33,45.28,1849.69,0.451
11,0.0,1.0,1.0,0.0,1.4,3.0,0.56,23.0,2.4,32.2,-20.0,4.0,250.0,23.0,40.0,0.0,1.24,43.13,6990.18,0.755
