Cluster,No_mbtree,No_asm,No_cabac,No_scenecut,Aq_strength,Bframes,Qcomp,Qp,Ref,Rc_lookahead,B_bias,Threads,Keyint,Crf,Scenecut,Seek,Ipratio,PSNR-,Energy-,d2h
0,0.0,0.0,1.0,0.0,1.07,12.9,0.6,25.89,4.43,122.64,2.75,64.54,505.54,30.34,50.36,607.45,1.06,43.55,995.02,0.222
1,0.0,0.0,0.0,0.0,1.07,13.01,0.6,26.05,4.47,126.24,2.14,64.43,510.98,30.42,49.88,639.75,1.05,44.14,972.33,0.307
2,0.0,1.0,0.0,0.0,1.05,12.73,0.61,25.55,4.48,128.45,0.05,64.81,516.41,30.44,50.32,615.14,1.05,43.5,3165.16,0.317
3,1.0,0.0,0.0,0.0,1.05,12.85,0.6,25.36,4.5,126.51,-1.91,64.5,509.33,29.68,49.62,628.69,1.05,46.86,999.42,0.701
4,0.0,0.0,0.0,1.0,1.08,13.03,0.59,26.09,4.64,125.93,1.97,64.17,503.22,30.57,51.33,623.64,1.09,43.42,989.22,0.203
5,0.0,0.0,1.0,0.0,1.08,3.28,0.53,20.56,3.39,42.61,0.83,5.11,288.89,25.83,41.78,0.0,1.16,42.69,2024.55,0.148
6,0.0,1.0,0.0,0.0,1.01,3.0,0.65,24.18,3.12,35.53,0.12,4.24,237.18,21.58,40.29,0.0,1.44,46.9,7603.76,1.0
7,0.0,0.0,0.0,0.0,1.06,3.18,0.57,23.18,3.0,42.09,0.18,4.36,230.18,23.16,33.36,0.0,1.47,46.59,1878.32,0.669
8,1.0,0.0,0.0,0.0,1.29,3.15,0.57,24.0,2.85,36.2,5.1,4.0,214.2,27.79,40.25,0.0,1.47,44.79,1896.09,0.413
9,0.0,0.0,0.0,1.0,1.04,3.06,0.59,25.38,3.12,39.75,-1.5,4.62,265.06,30.56,44.81,0.0,1.48,42.02,1837.32,0.092
