Cluster,No_mbtree,No_asm,No_cabac,No_scenecut,Aq_strength,Bframes,Qcomp,Qp,Ref,Rc_lookahead,B_bias,Threads,Keyint,Crf,Scenecut,Seek,Ipratio,PSNR-,Energy-,d2h
0,0.0,1.0,0.0,0.0,1.08,12.95,0.63,24.96,4.46,126.58,1.77,66.55,484.89,29.48,50.79,596.13,1.07,44.05,3334.19,0.427
1,0.0,0.0,1.0,0.0,1.03,12.83,0.62,24.7,4.51,125.77,0.93,66.01,508.49,30.06,49.72,622.7,1.02,43.83,992.09,0.287
2,0.0,0.0,0.0,1.0,1.03,13.33,0.59,25.97,4.58,125.89,2.65,63.73,494.7,30.44,50.58,612.41,1.0,43.39,1007.76,0.228
3,1.0,0.0,0.0,0.0,1.06,12.85,0.59,24.9,4.51,124.62,-1.34,64.17,502.61,29.22,50.14,610.33,1.03,46.98,1045.71,0.707
4,0.0,0.0,0.0,0.0,1.02,12.8,0.59,25.24,4.4,125.17,-2.28,64.6,498.69,29.63,48.89,609.5,1.02,43.76,1037.85,0.278
5,1.0,0.0,0.0,0.0,0.95,3.15,0.66,18.8,3.05,36.7,-3.55,4.3,235.6,26.95,33.85,0.0,1.38,45.06,2114.97,0.472
6,0.0,0.0,1.0,0.0,1.06,2.93,0.64,21.0,2.79,31.0,-5.79,4.14,229.43,22.86,42.36,0.0,1.38,45.73,1959.52,0.553
7,0.0,1.0,0.0,0.0,1.03,3.0,0.61,25.15,2.92,37.69,-2.0,4.46,247.0,25.93,42.54,0.0,1.11,41.68,6748.35,0.707
8,0.0,0.0,0.0,1.0,1.01,3.4,0.66,26.2,3.0,42.33,-1.6,4.4,266.07,24.73,39.93,0.0,1.44,46.14,2006.36,0.608
9,0.0,0.0,0.0,0.0,0.81,3.29,0.63,27.29,3.14,28.71,0.29,5.14,290.0,23.26,46.29,0.0,1.23,44.59,2182.44,0.415
