Cluster,No_mbtree,No_asm,No_cabac,No_scenecut,Aq_strength,Bframes,Qcomp,Qp,Ref,Rc_lookahead,B_bias,Threads,Keyint,Crf,Scenecut,Seek,Ipratio,PSNR-,Energy-,d2h
0,0.0,0.0,1.0,0.0,1.08,13.42,0.59,25.54,4.36,122.05,2.17,62.56,496.98,30.15,49.79,630.93,1.07,43.76,936.32,0.144
1,0.0,1.0,0.0,0.0,1.07,12.7,0.6,25.96,4.47,126.64,2.74,64.82,486.87,30.2,50.41,626.24,1.06,43.67,3065.36,0.283
2,0.0,0.0,0.0,1.0,1.04,13.17,0.6,25.18,4.49,125.16,0.03,64.7,516.93,30.53,52.01,604.42,1.06,43.32,1027.74,0.071
3,1.0,0.0,0.0,0.0,1.05,13.51,0.62,24.97,4.37,124.74,1.35,65.61,507.15,30.16,50.69,619.32,1.06,46.31,993.38,0.571
4,0.0,0.0,0.0,0.0,1.05,12.68,0.58,25.44,4.46,122.71,-0.94,65.88,518.63,30.38,49.94,600.67,1.07,43.4,1044.31,0.085
5,0.0,0.0,0.0,1.0,0.98,2.9,0.54,26.35,3.2,44.05,19.3,4.3,287.05,26.7,38.55,0.0,1.35,42.9,2017.66,0.128
6,0.0,1.0,0.0,0.0,0.8,3.0,0.55,21.05,3.0,38.6,-5.7,4.3,262.05,25.7,39.95,0.0,1.26,42.92,6909.82,0.707
7,1.0,0.0,0.0,0.0,0.75,3.11,0.66,20.22,3.17,36.39,21.39,4.33,255.61,24.81,43.06,0.0,1.54,47.12,2229.46,0.723
8,0.0,0.0,1.0,0.0,0.99,2.85,0.61,20.85,2.92,33.54,9.92,3.54,247.0,23.85,42.54,0.0,1.37,44.99,1937.15,0.37
9,0.0,1.0,1.0,0.0,1.0,3.0,0.68,23.0,3.0,40.0,0.0,4.0,100.6,23.0,16.6,0.0,1.52,46.58,4907.56,0.775
10,0.0,0.0,0.0,0.0,1.38,2.83,0.58,22.0,2.67,41.83,-4.5,3.67,220.17,28.12,41.83,0.0,1.57,43.62,1686.39,0.15
