Cluster,No_mbtree,No_asm,No_cabac,No_scenecut,Aq_strength,Bframes,Qcomp,Qp,Ref,Rc_lookahead,B_bias,Threads,Keyint,Crf,Scenecut,Seek,Ipratio,PSNR-,Energy-,d2h
0,0.0,1.0,0.0,0.0,1.06,12.95,0.58,26.26,4.6,124.65,-0.65,62.0,516.47,29.49,51.29,635.59,1.08,44.13,3107.4,0.285
1,1.0,0.0,0.0,0.0,1.06,12.85,0.62,26.45,4.44,128.91,-0.37,63.74,499.71,30.02,50.73,622.11,1.07,46.43,991.64,0.597
2,0.0,0.0,0.0,1.0,1.05,13.18,0.59,24.7,4.57,126.53,-0.87,65.45,516.6,30.68,50.49,621.76,1.03,43.33,993.79,0.065
3,0.0,1.0,0.0,0.0,1.07,2.85,0.65,26.0,2.7,35.55,17.0,4.5,242.6,27.32,42.75,0.0,1.35,43.47,6338.06,0.513
4,0.0,0.0,1.0,0.0,1.03,12.76,0.6,25.12,4.51,122.66,-0.21,66.46,498.95,30.06,50.11,624.03,1.09,43.84,972.83,0.153
5,1.0,0.0,0.0,0.0,0.98,3.06,0.63,22.35,3.0,37.29,1.82,4.35,278.82,26.11,39.94,0.0,1.5,46.12,2151.68,0.555
6,0.0,0.0,0.0,0.0,1.05,13.21,0.61,25.62,4.45,123.66,-0.37,66.03,503.29,29.8,51.06,626.11,1.09,44.15,1018.9,0.206
7,0.0,0.0,1.0,0.0,1.05,3.27,0.61,24.32,3.23,38.77,8.5,4.64,222.05,24.56,42.73,0.0,1.14,42.95,1924.43,0.09
8,0.0,0.0,0.0,1.0,1.14,3.33,0.54,23.8,3.07,42.33,2.07,4.93,249.47,22.13,45.13,0.0,1.53,46.88,2084.22,0.683
9,0.0,0.0,0.0,0.0,1.11,3.45,0.66,23.1,3.2,37.95,-5.6,5.1,276.05,25.08,42.15,0.0,1.37,44.67,2077.62,0.313
10,1.0,1.0,0.0,0.0,1.0,1.8,0.48,23.0,2.4,32.2,0.0,4.0,250.0,23.0,32.2,0.0,1.24,47.07,8481.99,1.0
