Cluster,No_mbtree,No_asm,No_cabac,No_scenecut,Aq_strength,Bframes,Qcomp,Qp,Ref,Rc_lookahead,B_bias,Threads,Keyint,Crf,Scenecut,Seek,Ipratio,PSNR-,Energy-,d2h
0,0.0,1.0,0.0,0.0,1.05,13.15,0.57,25.56,4.65,124.55,-3.85,60.07,524.65,28.99,50.12,599.88,1.08,44.22,3403.52,0.57
1,1.0,0.0,0.0,0.0,1.04,12.63,0.61,26.01,4.51,127.93,1.39,65.05,514.28,30.02,51.35,600.68,1.05,46.2,1035.64,0.646
2,0.0,0.0,0.0,1.0,1.05,13.54,0.58,24.36,4.59,124.71,-0.14,65.18,514.29,31.01,51.87,617.68,1.02,42.88,997.46,0.207
3,0.0,1.0,0.0,0.0,1.11,3.1,0.67,27.2,2.5,38.0,15.6,4.4,214.2,31.84,42.2,0.0,1.34,41.32,5075.29,0.707
4,0.0,0.0,1.0,0.0,1.02,12.89,0.59,24.3,4.48,121.41,-0.44,68.44,479.39,31.07,49.57,621.11,1.1,43.13,944.02,0.24
5,0.0,0.0,0.0,0.0,1.08,13.56,0.62,26.08,4.38,122.93,0.77,66.41,481.55,28.95,50.94,626.09,1.12,44.75,1023.96,0.454
6,0.0,0.0,1.0,0.0,0.96,3.21,0.61,22.93,3.21,39.43,13.21,4.43,221.64,24.39,41.14,0.0,1.09,43.36,2009.32,0.326
7,0.0,0.0,0.0,1.0,0.99,3.43,0.44,26.29,3.14,41.71,-3.71,4.86,244.43,22.73,44.71,0.0,1.56,45.95,1988.45,0.639
8,0.0,0.0,0.0,0.0,1.18,3.46,0.67,23.23,3.31,38.85,-15.15,4.92,263.15,24.78,39.08,0.0,1.21,44.23,2162.58,0.438
9,1.0,0.0,0.0,0.0,1.02,3.11,0.66,23.22,3.11,35.89,0.22,4.44,281.11,24.64,36.22,0.0,1.4,46.66,2262.35,0.742
