Cluster,No_mbtree,No_asm,No_cabac,No_scenecut,Aq_strength,Bframes,Qcomp,Qp,Ref,Rc_lookahead,B_bias,Threads,Keyint,Crf,Scenecut,Seek,Ipratio,PSNR-,Energy-,d2h
0,0.0,0.0,0.0,1.0,1.05,13.1,0.61,25.31,4.54,129.03,1.75,66.02,475.19,30.34,50.68,596.84,1.06,43.41,1045.85,0.007
1,1.0,0.0,0.0,0.0,1.06,13.08,0.59,25.71,4.45,123.86,-0.87,64.78,496.42,29.31,49.39,627.28,1.03,47.14,995.0,0.707
2,0.0,1.0,0.0,0.0,1.03,12.97,0.6,25.63,4.54,125.68,2.53,65.11,491.56,29.83,49.92,617.65,1.05,43.93,3143.21,0.295
3,0.0,0.0,0.0,0.0,1.03,12.84,0.6,24.63,4.52,120.62,0.6,64.23,505.17,29.53,49.18,603.39,1.05,44.07,1069.59,0.125
4,1.0,0.0,0.0,0.0,0.86,3.35,0.62,21.47,2.59,41.0,10.94,4.59,264.18,24.52,42.24,0.0,1.35,46.86,2063.02,0.668
5,0.0,0.0,1.0,0.0,1.04,13.02,0.61,24.55,4.52,128.49,0.95,62.76,512.56,29.25,48.92,622.64,1.07,44.34,1013.11,0.176
6,0.0,0.0,0.0,0.0,0.89,3.07,0.69,23.93,3.21,36.57,2.07,4.14,229.43,25.72,34.0,0.0,1.33,44.78,1910.08,0.285
7,0.0,0.0,1.0,0.0,0.85,3.13,0.63,26.22,2.96,37.48,0.22,4.7,269.61,26.43,43.09,0.0,1.39,44.88,1952.68,0.305
8,0.0,0.0,0.0,1.0,1.02,3.0,0.58,21.6,2.8,33.25,-9.85,4.2,271.0,23.51,43.3,0.0,1.44,45.84,2127.92,0.483
9,0.0,1.0,0.0,0.0,1.18,3.27,0.64,19.36,3.18,37.64,2.73,4.55,259.18,24.68,37.91,0.0,1.33,44.44,6399.02,0.726
10,0.0,1.0,1.0,0.0,1.0,3.0,0.6,23.0,2.4,40.0,100.0,4.0,200.2,23.0,32.2,0.0,1.12,43.94,6460.58,0.714
