Cluster,No_mbtree,No_asm,No_cabac,No_scenecut,Aq_strength,Bframes,Qcomp,Qp,Ref,Rc_lookahead,B_bias,Threads,Keyint,Crf,Scenecut,Seek,Ipratio,PSNR-,Energy-,d2h
0,0.0,1.0,0.0,0.0,1.07,13.22,0.59,25.01,4.72,126.78,-0.47,64.99,509.09,29.8,52.01,625.93,1.04,43.93,3158.9,0.368
1,0.0,0.0,0.0,1.0,1.07,12.86,0.62,26.11,4.43,124.82,-1.02,67.48,492.2,29.9,51.06,639.22,1.04,44.29,966.07,0.299
2,0.0,0.0,1.0,0.0,1.07,12.93,0.6,25.66,4.44,125.07,0.72,64.49,472.5,29.35,51.3,636.11,1.06,44.37,974.04,0.31
3,1.0,0.0,0.0,0.0,1.08,13.13,0.62,25.09,4.48,127.87,2.27,66.54,509.0,29.75,50.42,630.2,1.05,46.8,981.04,0.671
4,0.0,0.0,0.0,0.0,1.09,13.29,0.62,25.76,4.35,120.89,1.5,64.49,506.83,30.02,49.82,611.18,1.03,43.9,1031.63,0.241
5,0.0,0.0,0.0,1.0,1.05,3.06,0.63,17.25,3.0,35.31,7.06,4.5,260.69,22.76,41.69,0.0,1.37,47.04,2112.55,0.722
6,1.0,0.0,0.0,0.0,1.14,3.0,0.6,22.5,3.2,33.1,12.9,4.2,221.2,26.81,39.4,0.0,1.3,44.24,1917.8,0.315
7,0.0,1.0,0.0,0.0,0.85,3.5,0.55,23.9,3.1,31.1,2.0,5.0,235.2,22.25,41.6,0.0,1.39,46.82,6603.77,0.977
8,0.0,0.0,0.0,0.0,0.96,3.04,0.6,26.87,2.96,37.74,-1.74,4.35,280.43,29.3,44.78,0.0,1.36,42.28,1851.57,0.111
9,0.0,0.0,1.0,0.0,1.05,3.73,0.65,24.64,3.0,36.82,-11.18,6.09,304.64,27.67,47.91,0.0,1.34,43.47,1779.97,0.204
