Cluster,No_mbtree,No_asm,No_cabac,No_scenecut,Aq_strength,Bframes,Qcomp,Qp,Ref,Rc_lookahead,B_bias,Threads,Keyint,Crf,Scenecut,Seek,Ipratio,PSNR-,Energy-,d2h
0,0.0,0.0,0.0,0.0,1.04,12.88,0.61,24.89,4.42,125.65,-3.74,66.39,519.86,29.32,50.13,605.19,1.05,44.44,1039.21,0.419
1,0.0,0.0,0.0,1.0,1.09,12.9,0.61,25.49,4.53,123.46,1.93,60.96,504.83,30.43,51.29,614.85,1.03,43.49,1004.85,0.287
2,1.0,0.0,0.0,0.0,1.09,13.33,0.58,26.2,4.48,128.34,2.34,62.14,511.9,29.86,51.18,606.96,1.04,46.53,1039.68,0.707
3,0.0,0.0,1.0,0.0,0.99,13.12,0.58,24.97,4.57,129.62,1.91,67.91,500.31,30.52,49.42,636.88,1.13,43.47,968.73,0.284
4,0.0,1.0,0.0,0.0,1.02,12.91,0.62,24.81,4.79,129.29,1.42,64.58,505.99,30.32,50.28,611.84,1.01,43.68,3206.97,0.42
5,1.0,0.0,0.0,0.0,1.01,3.0,0.54,23.13,3.0,32.62,7.0,4.0,236.38,27.3,37.88,0.0,1.31,45.36,1983.64,0.56
6,0.0,0.0,1.0,0.0,1.02,3.3,0.56,23.2,2.9,38.4,-9.8,3.6,278.0,27.18,44.4,0.0,1.06,41.41,1836.6,0.108
7,0.0,0.0,0.0,0.0,0.89,3.31,0.64,22.77,3.38,44.31,14.31,4.77,268.54,23.99,42.92,0.0,1.55,46.48,2066.83,0.713
8,0.0,1.0,0.0,0.0,1.32,2.88,0.59,18.63,2.75,35.25,7.0,4.5,236.38,23.93,33.0,0.0,1.41,45.78,6640.25,0.93
9,0.0,0.0,0.0,1.0,1.2,2.75,0.65,26.63,2.75,42.75,7.0,4.5,236.38,22.3,42.75,0.0,1.31,45.59,2091.58,0.594
