Cluster,No_mbtree,No_asm,No_cabac,No_scenecut,Aq_strength,Bframes,Qcomp,Qp,Ref,Rc_lookahead,B_bias,Threads,Keyint,Crf,Scenecut,Seek,Ipratio,PSNR-,Energy-,d2h
0,0.0,0.0,0.0,1.0,1.05,11.86,0.6,26.71,3.21,89.93,-13.86,79.86,548.07,32.8,52.86,418.0,0.95,40.47,1213.01,0.479
1,1.0,0.0,0.0,0.0,1.15,14.82,0.51,21.64,4.64,114.18,9.64,82.09,606.45,28.14,40.0,418.0,1.02,44.8,1583.55,0.813
2,0.0,1.0,0.0,0.0,0.93,14.33,0.67,32.11,3.67,111.67,19.11,62.11,482.0,32.17,56.0,836.0,1.09,44.13,1407.96,0.691
3,0.0,0.0,0.0,1.0,1.09,13.5,0.55,27.62,3.94,130.69,17.25,77.94,625.37,27.46,52.56,836.0,0.83,47.06,536.45,0.537
4,1.0,0.0,0.0,0.0,1.24,10.85,0.62,24.85,3.69,103.15,-7.23,79.38,513.31,29.44,41.62,836.0,1.13,49.91,535.94,0.707
5,0.0,0.0,0.0,0.0,1.12,13.8,0.56,34.0,5.4,150.4,34.0,43.0,533.8,33.94,40.6,418.0,0.98,39.7,1329.77,0.545
6,0.0,0.0,0.0,0.0,0.87,9.0,0.6,17.0,6.0,146.25,0.5,64.5,583.75,36.6,67.0,418.0,1.05,38.06,1350.3,0.55
7,0.0,0.0,0.0,0.0,0.93,9.0,0.6,28.33,5.5,97.83,-33.0,64.5,389.5,29.95,50.5,836.0,0.93,45.28,610.75,0.434
8,0.0,0.0,1.0,0.0,1.26,15.4,0.64,34.0,4.8,167.0,7.2,43.0,400.6,31.28,53.8,418.0,1.12,41.57,1413.51,0.628
9,0.0,0.0,1.0,0.0,1.0,10.14,0.57,29.14,3.0,155.14,-23.43,73.71,429.14,29.0,48.14,836.0,0.9,45.97,563.15,0.472
