Cluster,No_mbtree,No_asm,No_cabac,No_scenecut,Aq_strength,Bframes,Qcomp,Qp,Ref,Rc_lookahead,B_bias,Threads,Keyint,Crf,Scenecut,Seek,Ipratio,PSNR-,Energy-,d2h
0,0.0,0.0,0.0,0.0,1.07,13.54,0.56,25.72,4.54,122.04,-0.19,65.44,498.25,29.44,48.9,640.86,1.03,44.36,965.43,0.342
1,0.0,0.0,1.0,0.0,1.03,12.89,0.58,27.11,4.59,125.03,2.57,64.02,502.76,30.54,53.5,624.38,1.01,43.39,953.75,0.222
2,0.0,0.0,1.0,0.0,1.14,3.0,0.67,23.13,3.0,35.25,-31.75,4.0,267.5,22.3,42.75,0.0,1.4,46.35,2262.4,0.615
3,0.0,0.0,0.0,1.0,1.07,12.42,0.6,26.42,4.72,120.55,-0.35,64.09,500.47,29.58,48.59,609.27,1.06,43.92,1033.28,0.288
4,1.0,0.0,0.0,0.0,1.03,13.04,0.6,25.27,4.54,126.14,1.73,64.51,512.48,29.06,50.54,623.69,1.07,47.29,1002.71,0.707
5,0.0,0.0,0.0,1.0,1.02,2.67,0.65,21.0,3.0,40.17,-25.67,4.67,273.33,26.57,43.67,0.0,1.42,44.64,2174.04,0.41
6,0.0,1.0,0.0,0.0,1.08,13.58,0.58,24.41,4.53,126.64,-0.68,61.97,496.15,30.09,50.61,621.44,1.01,43.61,3110.69,0.377
7,0.0,1.0,0.0,0.0,0.8,2.88,0.7,24.0,2.87,36.25,3.62,4.75,276.25,31.14,34.38,0.0,1.45,42.17,6331.64,0.711
8,1.0,0.0,0.0,0.0,1.04,3.17,0.6,20.75,3.08,39.33,2.5,4.83,237.67,25.71,44.58,0.0,1.16,45.23,1990.83,0.471
9,0.0,0.0,0.0,0.0,1.2,3.25,0.46,23.75,3.0,40.13,0.13,4.0,267.5,30.67,37.88,0.0,1.41,41.61,1800.81,0.111
