Cluster,F,Smoother,ColorGS,RelaxParameter,V,Jacobi,Line,ZebraLine,Cycle,Alpha,Beta,PreSmoothing,PostSmoothing, TimeToSolution- ,NumberIterations-,d2h
0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,65.48,56.54,4.23,4.02,167.87,7.38,0.01
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,55.83,60.31,3.73,3.65,194.71,19.04,0.03
2,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,61.25,56.83,4.19,4.06,257.82,15.52,0.03
3,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,62.36,65.28,4.22,4.94,198.08,10.17,0.01
4,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,66.32,57.5,3.37,3.26,159.83,8.0,0.01
5,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,57.16,61.93,3.57,3.77,339.14,28.82,0.05
6,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,61.94,56.81,4.83,3.86,280.31,16.81,0.03
7,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,61.98,57.44,3.42,3.79,143.68,11.21,0.02
8,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,61.82,54.43,4.36,3.91,122.88,7.23,0.01
9,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,57.55,61.47,4.78,4.25,229.25,8.14,0.01
10,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,65.0,53.0,4.7,3.88,98.1,8.08,0.01
11,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,60.38,58.96,4.13,4.26,109.27,6.17,0.01
12,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,60.83,59.17,4.67,5.5,259.09,13.8,0.02
13,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,57.23,59.79,3.94,3.77,181.42,8.51,0.01
14,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,59.34,64.87,3.89,4.76,183.38,14.24,0.02
15,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,63.25,60.88,4.1,3.55,1373.36,129.78,0.25
