Cluster,F,Smoother,ColorGS,RelaxParameter,V,Jacobi,Line,ZebraLine,Cycle,Alpha,Beta,PreSmoothing,PostSmoothing, TimeToSolution- ,NumberIterations-,d2h
0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,66.72,56.56,4.25,3.88,822.75,82.72,0.16
1,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,60.09,55.66,4.43,4.09,200.98,7.77,0.01
2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,38.75,79.37,5.62,3.25,145.96,5.25,0.0
3,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,56.22,62.8,4.51,4.15,133.1,10.12,0.01
4,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,60.85,58.83,3.38,4.13,274.54,13.02,0.02
5,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,57.04,61.02,4.06,4.49,179.09,10.04,0.01
6,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,64.64,54.4,4.31,4.1,392.71,30.29,0.05
7,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,62.81,57.29,4.19,3.96,93.55,7.65,0.01
8,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,63.33,57.96,4.11,4.31,199.11,10.3,0.01
9,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,55.43,64.36,3.96,5.04,283.92,14.7,0.02
10,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,63.82,59.91,4.16,3.62,183.92,11.98,0.02
11,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,63.89,65.56,3.03,4.08,395.82,21.08,0.03
12,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,55.0,60.39,4.84,4.37,118.61,6.03,0.0
13,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,55.42,55.42,4.29,4.29,387.72,22.08,0.04
14,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,74.64,50.71,2.43,6.71,201.35,8.14,0.01
15,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,59.88,63.0,3.52,4.25,159.21,10.28,0.01
16,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,60.12,70.23,3.77,4.4,162.14,9.91,0.01
17,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,86.67,81.67,4.33,1.0,4691.67,395.67,0.79
