Cluster,F,Smoother,ColorGS,RelaxParameter,V,Jacobi,Line,ZebraLine,Cycle,Alpha,Beta,PreSmoothing,PostSmoothing, TimeToSolution- ,NumberIterations-,d2h
0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,64.67,58.78,3.98,3.89,242.78,12.56,0.02
1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,63.59,62.81,4.38,4.12,132.89,9.31,0.01
2,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,63.78,55.89,3.73,3.47,141.43,7.16,0.01
3,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,62.11,64.33,4.84,4.07,268.54,10.69,0.02
4,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,61.36,61.09,4.11,3.47,265.22,27.0,0.05
5,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,60.55,64.82,4.13,4.11,95.14,7.4,0.01
6,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,59.11,62.89,4.73,3.44,148.62,9.2,0.01
7,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,62.77,56.38,3.13,3.02,1129.97,118.21,0.23
8,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,64.43,60.14,4.57,4.54,138.54,6.94,0.01
9,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,52.59,65.17,4.29,4.31,105.83,5.91,0.01
10,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,61.94,56.81,4.47,3.53,109.07,8.61,0.01
11,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,57.88,61.0,3.8,4.15,657.99,46.15,0.09
12,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,62.08,58.44,4.27,4.15,275.34,9.98,0.01
13,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,59.19,58.49,3.86,2.93,508.34,35.53,0.07
14,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,63.02,54.42,3.56,4.42,151.39,8.86,0.01
15,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,66.03,57.18,3.85,4.62,165.57,9.36,0.01
