Cluster,F,Smoother,ColorGS,RelaxParameter,V,Jacobi,Line,ZebraLine,Cycle,Alpha,Beta,PreSmoothing,PostSmoothing, TimeToSolution- ,NumberIterations-,d2h
0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,57.2,56.85,3.76,4.27,140.16,8.57,0.01
1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,58.86,64.49,4.34,3.95,163.19,7.03,0.01
2,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,62.35,59.5,3.92,3.73,204.22,19.22,0.03
3,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,54.68,61.02,3.81,3.86,157.79,12.33,0.02
4,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,57.55,62.39,3.82,4.23,121.3,7.07,0.01
5,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,60.79,59.66,4.18,3.31,183.26,9.55,0.01
6,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,60.33,63.94,3.88,4.49,182.95,7.22,0.01
7,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,60.0,57.63,3.91,4.27,380.88,29.76,0.05
8,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,64.74,58.57,4.1,3.71,2525.42,187.86,0.37
9,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,55.24,58.23,4.2,3.85,1957.81,125.83,0.25
10,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,59.81,58.29,3.89,4.0,142.83,8.81,0.01
11,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,59.85,59.24,4.0,4.33,693.3,37.47,0.07
12,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,55.42,60.98,3.8,4.06,135.9,9.03,0.01
13,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,57.08,65.21,3.93,4.11,103.3,8.83,0.01
14,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,56.55,58.35,3.92,4.59,165.42,6.79,0.01
15,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,61.79,57.39,4.22,4.07,230.55,15.88,0.03
