Cluster,F,Smoother,ColorGS,RelaxParameter,V,Jacobi,Line,ZebraLine,Cycle,Alpha,Beta,PreSmoothing,PostSmoothing, TimeToSolution- ,NumberIterations-,d2h
0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,62.47,56.65,4.25,3.89,152.94,6.59,0.01
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,59.56,59.72,4.14,3.92,235.97,16.8,0.03
2,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,57.76,60.62,4.08,4.18,150.1,9.02,0.01
3,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,57.26,65.05,4.41,3.65,220.22,18.43,0.03
4,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,59.88,58.33,3.99,4.02,480.53,24.36,0.04
5,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,58.92,61.08,4.12,4.35,190.2,7.67,0.01
6,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,63.63,59.26,4.37,3.73,111.46,6.53,0.01
7,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,59.22,59.83,4.16,4.06,135.29,7.47,0.01
8,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,61.97,59.89,4.84,3.73,189.08,7.51,0.01
9,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,57.97,66.1,4.05,3.9,3330.85,182.79,0.36
10,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,61.39,63.92,3.53,3.57,1673.29,140.94,0.28
11,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,58.72,63.03,4.21,3.98,155.79,9.31,0.01
12,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,59.94,56.78,4.07,3.84,131.34,7.47,0.01
13,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,66.82,55.65,4.04,4.18,96.34,7.68,0.01
14,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,60.38,57.53,4.13,3.95,290.78,20.78,0.03
15,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,56.67,64.78,3.72,4.2,282.39,13.17,0.02
