Cluster,F,Smoother,ColorGS,RelaxParameter,V,Jacobi,Line,ZebraLine,Cycle,Alpha,Beta,PreSmoothing,PostSmoothing, TimeToSolution- ,NumberIterations-,d2h
0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,63.33,57.67,4.02,4.32,1009.29,81.72,0.16
1,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,58.75,65.5,3.85,3.85,208.62,8.62,0.01
2,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,62.8,58.78,3.56,4.0,194.52,12.88,0.02
3,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,60.23,59.77,4.09,4.37,193.43,16.49,0.03
4,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,53.97,68.08,3.92,4.49,122.99,8.26,0.01
5,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,59.49,62.45,4.18,4.33,215.16,10.06,0.01
6,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,57.25,64.51,3.53,4.47,139.14,8.25,0.01
7,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,55.0,66.97,3.84,4.63,335.13,23.84,0.04
8,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,55.7,62.58,4.17,4.05,196.36,10.05,0.01
9,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,61.85,61.63,3.89,4.28,87.22,6.74,0.01
10,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,66.16,51.51,4.44,4.23,450.18,21.44,0.04
11,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,57.5,61.03,3.09,3.94,243.3,15.03,0.02
12,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,67.2,57.7,3.68,3.6,222.53,12.42,0.02
13,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,58.72,56.28,4.0,3.85,191.8,8.74,0.01
14,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,62.05,59.32,4.25,2.93,135.31,6.45,0.0
15,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,62.59,56.48,5.15,2.33,1005.11,74.52,0.14
16,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,36.82,53.18,5.64,5.18,12272.62,501.0,1.0
