Cluster,F,Smoother,ColorGS,RelaxParameter,V,Jacobi,Line,ZebraLine,Cycle,Alpha,Beta,PreSmoothing,PostSmoothing, TimeToSolution- ,NumberIterations-,d2h
0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,59.66,56.08,4.03,4.16,206.14,10.03,0.01
1,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,62.37,60.54,3.65,3.88,151.42,10.03,0.01
2,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,60.94,56.6,4.05,4.26,766.91,46.02,0.09
3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,61.76,56.3,3.8,4.29,240.73,18.17,0.03
4,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,60.89,61.85,3.92,3.66,778.77,60.11,0.11
5,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,60.93,58.71,4.26,3.99,205.44,15.56,0.03
6,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,55.47,62.58,4.41,3.65,117.77,7.18,0.01
7,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,60.59,59.06,4.24,3.97,182.85,8.32,0.01
8,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,64.11,52.38,3.7,3.77,99.3,9.89,0.01
9,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,59.87,60.75,4.0,4.17,1391.11,110.04,0.21
10,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,59.94,56.86,4.06,4.5,112.92,6.41,0.01
11,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,58.9,60.95,3.74,3.63,120.64,7.86,0.01
12,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,57.62,59.52,3.86,3.62,219.39,25.19,0.04
13,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,62.95,55.7,3.56,4.23,171.01,7.74,0.01
14,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,62.34,61.49,4.51,4.13,453.25,38.13,0.07
15,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,55.67,63.89,4.21,3.82,196.84,8.28,0.01
16,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,54.29,42.86,6.14,6.29,14010.13,501.0,1.0
