Cluster,F,Smoother,ColorGS,RelaxParameter,V,Jacobi,Line,ZebraLine,Cycle,Alpha,Beta,PreSmoothing,PostSmoothing, TimeToSolution- ,NumberIterations-,d2h
0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,64.52,62.12,4.15,3.93,1220.62,99.55,0.19
1,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,59.63,57.98,4.3,4.19,303.84,11.7,0.02
2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,61.01,59.87,3.91,3.7,180.05,8.61,0.01
3,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,57.33,61.51,4.4,3.79,156.43,12.87,0.02
4,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,59.11,59.94,3.42,4.27,261.05,14.21,0.02
5,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,58.2,61.6,4.06,4.26,176.75,9.99,0.01
6,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,62.5,56.28,4.26,3.82,489.56,34.85,0.06
7,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,61.6,59.34,4.15,3.84,93.82,7.8,0.01
8,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,62.66,58.67,3.97,4.23,169.25,9.44,0.01
9,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,59.49,61.38,3.96,4.52,428.65,24.21,0.04
10,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,62.61,60.92,4.15,4.0,160.33,9.59,0.01
11,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,61.28,60.81,3.77,4.22,253.82,12.28,0.02
12,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,59.89,59.52,3.97,3.89,117.14,7.78,0.01
13,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,58.23,68.17,4.01,4.18,156.19,9.04,0.01
14,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,56.46,58.37,4.08,4.27,357.25,23.39,0.04
15,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,58.37,63.08,3.87,4.03,176.54,11.47,0.02
