Cluster,F,Smoother,ColorGS,RelaxParameter,V,Jacobi,Line,ZebraLine,Cycle,Alpha,Beta,PreSmoothing,PostSmoothing, TimeToSolution- ,NumberIterations-,d2h
0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,61.26,63.05,4.31,4.06,178.52,7.28,0.01
1,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,62.11,61.97,3.86,3.88,956.67,66.13,0.13
2,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,59.18,57.12,4.48,4.0,115.93,6.4,0.01
3,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,63.17,62.0,3.84,4.38,218.47,17.2,0.03
4,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,62.63,58.89,3.99,4.27,204.52,21.05,0.04
5,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,60.65,58.75,4.08,4.15,156.63,8.66,0.01
6,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,60.87,55.47,4.0,4.22,127.7,6.98,0.01
7,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,61.25,60.54,3.89,4.16,190.77,8.58,0.01
8,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,61.17,58.95,4.23,4.14,99.92,8.05,0.01
9,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,58.69,60.0,4.02,4.34,123.12,7.05,0.01
10,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,63.16,56.99,4.19,4.14,302.37,12.42,0.02
11,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,57.33,59.13,3.42,4.21,2211.79,153.69,0.3
12,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,57.47,62.03,3.84,4.67,436.88,26.49,0.05
13,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,60.61,59.39,3.5,4.0,266.1,22.26,0.04
14,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,59.3,61.34,3.91,4.12,170.92,10.34,0.01
15,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,59.31,60.57,4.21,4.43,166.05,6.4,0.01
16,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,88.57,29.29,4.86,3.57,10124.7,501.0,1.0
