Cluster,F,Smoother,ColorGS,RelaxParameter,V,Jacobi,Line,ZebraLine,Cycle,Alpha,Beta,PreSmoothing,PostSmoothing, TimeToSolution- ,NumberIterations-,d2h
0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,63.0,61.62,4.05,3.9,106.25,6.41,0.01
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,61.19,58.07,3.87,4.46,239.01,13.48,0.02
2,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,60.89,61.61,4.25,3.86,296.86,11.23,0.02
3,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,62.03,57.03,4.01,4.3,154.5,8.69,0.01
4,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,62.87,54.16,3.7,4.13,150.3,9.41,0.01
5,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,62.42,55.84,3.61,3.78,2281.5,142.08,0.28
6,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,57.29,59.21,4.07,3.92,275.93,21.64,0.04
7,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,62.26,55.54,3.96,4.23,166.3,7.82,0.01
8,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,62.29,55.59,4.45,3.52,145.89,8.09,0.01
9,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,57.04,60.41,3.76,3.88,427.6,34.62,0.06
10,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,61.12,62.09,3.7,3.72,106.56,9.84,0.01
11,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,60.34,55.4,4.37,4.17,160.65,6.36,0.01
12,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,58.31,59.76,3.86,4.29,185.42,8.23,0.01
13,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,58.62,62.6,3.83,3.84,442.21,33.86,0.06
14,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,60.05,61.15,3.71,4.25,3118.28,207.98,0.41
15,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,59.53,62.15,4.18,4.15,165.16,10.64,0.02
