Cluster,F,Smoother,ColorGS,RelaxParameter,V,Jacobi,Line,ZebraLine,Cycle,Alpha,Beta,PreSmoothing,PostSmoothing, TimeToSolution- ,NumberIterations-,d2h
0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,66.25,57.08,4.69,3.89,307.34,16.81,0.03
1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,61.43,53.57,4.51,4.06,106.6,5.71,0.0
2,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,65.79,64.21,3.66,4.39,211.82,17.53,0.03
3,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,62.93,55.33,4.17,4.59,192.42,9.24,0.01
4,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,61.46,57.07,3.8,4.56,135.14,7.2,0.01
5,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,63.27,59.23,4.17,4.27,153.61,16.85,0.03
6,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,57.65,60.51,3.57,4.51,190.51,9.37,0.01
7,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,67.98,55.83,3.93,4.0,92.03,7.24,0.01
8,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,57.42,62.58,4.15,3.79,142.77,5.76,0.0
9,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,60.78,56.22,4.49,3.98,317.41,13.44,0.02
10,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,62.17,54.67,3.72,4.87,442.78,25.52,0.04
11,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,58.56,60.42,3.88,3.68,146.46,9.24,0.01
12,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,57.07,60.98,3.39,4.26,169.71,10.74,0.01
13,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,60.51,62.86,4.08,4.65,174.41,6.61,0.01
14,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,48.91,67.61,4.33,4.93,150.23,8.22,0.01
15,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,65.2,55.2,5.0,4.84,278.28,17.56,0.03
