Cluster,F,Smoother,ColorGS,RelaxParameter,V,Jacobi,Line,ZebraLine,Cycle,Alpha,Beta,PreSmoothing,PostSmoothing, TimeToSolution- ,NumberIterations-,d2h
0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,58.28,60.78,4.34,4.05,156.18,7.84,0.01
1,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,66.67,59.79,3.9,3.62,305.23,25.42,0.05
2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,57.13,61.81,3.98,3.68,232.02,14.43,0.02
3,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,55.68,64.77,3.7,4.84,811.68,68.11,0.13
4,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,58.78,60.14,4.84,3.97,113.27,5.95,0.01
5,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,56.98,62.92,4.52,4.9,223.85,8.77,0.01
6,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,65.91,50.68,3.82,4.02,195.11,8.66,0.01
7,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,58.97,65.29,4.35,3.24,494.22,37.97,0.07
8,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,53.86,61.43,5.34,4.23,189.73,8.34,0.01
9,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,54.08,63.67,4.47,4.55,216.44,8.06,0.01
10,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,60.76,58.91,5.09,4.28,126.92,6.39,0.01
11,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,61.98,58.23,4.35,3.62,223.42,15.27,0.02
12,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,52.05,65.26,3.87,3.95,188.99,11.33,0.02
13,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,55.0,60.0,4.1,3.54,427.17,37.36,0.07
14,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,65.58,56.35,4.42,4.1,88.63,6.56,0.01
15,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,59.23,61.54,3.21,4.1,209.68,18.33,0.03
