Cluster,F,Smoother,ColorGS,RelaxParameter,V,Jacobi,Line,ZebraLine,Cycle,Alpha,Beta,PreSmoothing,PostSmoothing, TimeToSolution- ,NumberIterations-,d2h
0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,61.54,60.27,4.05,3.77,278.02,14.24,0.02
1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,60.82,62.47,4.22,4.26,124.58,7.35,0.01
2,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,63.45,56.75,4.21,3.58,148.22,6.55,0.01
3,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,61.24,58.94,4.35,3.98,212.38,9.83,0.01
4,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,60.55,57.45,3.88,3.53,2048.82,157.87,0.31
5,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,59.85,63.28,4.08,3.48,320.56,28.74,0.05
6,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,62.16,59.95,3.95,4.37,96.08,7.34,0.01
7,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,59.11,59.89,4.41,3.77,138.84,8.54,0.01
8,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,65.21,59.1,4.21,4.42,153.62,9.71,0.01
9,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,55.44,63.63,4.34,4.19,114.42,6.51,0.01
10,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,59.35,59.29,4.15,3.87,160.44,13.28,0.02
11,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,58.33,59.93,3.92,3.76,980.37,67.93,0.13
12,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,60.45,57.78,4.31,4.3,649.01,34.6,0.06
13,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,61.88,60.21,4.01,4.11,252.66,9.29,0.01
14,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,59.48,58.77,4.1,4.62,230.86,14.74,0.02
15,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,61.68,60.27,3.63,4.36,151.62,9.03,0.01
16,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,83.0,30.0,5.8,7.6,11365.28,501.0,1.0
