Cluster,Extrema,EnabledOptimizations,DisabledOptimizations,Ls,Dcr,Cf,Lir,Inl,Lur,Wlur,Prfunr,Lus,Cse,Dfr,Wlt,Wlf,Awlf,Ivecyc,Ive,Ivesli,Wlflt,Ae,Dl,Rco,Uip,Dr,Ipc,Wlpg,Cp,Vp,Srf,Phm,Dpa,Msca,Wls,As,Wlsimp,Cwle,Lro,Lao,Pra,Rnb,Rip,Sde,Wlprop,Saa,Cyc,Scyc,Saacyc,Wlsd,Cts,Ucts,Maxoptcyc,Maxlur,Maxwlur,Maxprfur,Maxae,Initmheap,Initwheap,Compile-exit-,Compile-real-,d2h
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.35,5.32,10.86,10.19,5.68,5701.19,492.11,0.0,0.82,0.023
1,0.06,1.0,1.0,0.06,0.04,0.04,0.04,0.02,0.05,0.04,0.08,0.01,0.03,0.03,0.05,0.03,0.03,0.04,0.04,0.03,0.06,0.03,0.02,0.04,0.02,0.03,0.06,0.02,0.01,0.06,0.05,0.0,0.04,0.02,0.02,0.09,0.01,0.06,0.05,0.04,0.05,0.05,0.04,0.02,0.03,0.02,0.05,0.02,0.03,0.02,0.05,0.03,9.33,6.71,9.3,10.47,6.95,7275.92,496.44,0.84,1.33,0.053
2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,1.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,19.43,7.43,14.0,1.43,2.71,5120.0,973.71,0.0,2.04,0.094
3,0.17,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.06,0.22,0.0,0.0,0.06,0.06,0.0,0.06,0.0,0.67,0.0,0.0,0.0,0.0,17.0,3.17,13.89,10.06,5.22,7509.33,369.78,0.0,0.82,0.023
4,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.33,9.33,8.0,13.25,6.67,4522.67,594.67,0.0,1.69,0.073
5,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,8.25,8.5,14.0,9.5,8448.0,312.0,0.0,0.83,0.024
6,0.0,1.0,1.0,0.04,0.0,0.0,0.14,0.0,0.0,0.0,0.11,0.0,0.07,0.0,0.04,0.0,0.0,0.25,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.04,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.82,0.0,0.14,0.0,0.0,9.75,7.82,16.32,7.46,3.57,5266.29,721.14,0.0,0.83,0.024
7,0.99,1.0,1.0,0.92,1.0,0.97,1.0,0.94,1.0,0.99,1.0,1.0,0.96,1.0,0.99,0.99,0.97,1.0,0.91,0.99,1.0,0.99,0.95,1.0,0.99,1.0,1.0,1.0,0.96,1.0,1.0,0.99,1.0,1.0,1.0,1.0,0.95,0.92,0.96,0.99,0.99,1.0,1.0,0.99,0.92,0.96,0.97,1.0,0.97,1.0,1.0,0.97,8.58,6.7,7.59,9.59,7.3,6610.63,593.82,130.61,0.91,0.69
8,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.83,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,6.33,10.5,11.67,8.33,5290.67,325.33,0.0,0.83,0.024
9,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,11.0,7.3,13.4,5.5,3.7,9318.4,323.2,0.0,0.86,0.025
