F,Smoother,ColorGS,RelaxParameter,V,Jacobi,Line,ZebraLine,Cycle,Alpha,Beta,PreSmoothing,PostSmoothing,NumberIterations-, TimeToSolution- 
0,1,0,1,1,0,1,0,1,35,65,0,1,43,212.115
0,1,1,1,1,0,0,0,1,30,60,6,8,5,106.917
0,1,0,1,1,0,0,1,1,55,80,8,0,5,96.791
0,1,0,1,1,1,0,0,1,70,45,1,0,41,172.384
1,1,1,1,0,0,0,0,1,15,75,1,1,21,184.161
1,1,0,1,0,1,0,0,1,60,85,3,2,13,172.947
0,1,0,0,1,0,1,0,1,45,60,0,5,9,116.979
1,1,0,1,0,0,0,1,1,40,50,6,5,4,135.802
1,1,0,1,0,0,1,0,1,50,65,5,6,5,166.931
1,1,0,1,0,0,1,0,1,70,85,3,4,11,272.61
1,1,0,0,0,1,0,0,1,40,80,3,6,11,232.823
0,1,0,1,1,0,0,1,1,20,85,3,7,10,214.765
1,1,0,1,0,1,0,0,1,40,65,6,7,7,200.687
0,1,1,1,1,0,0,0,1,20,80,4,8,6,112.032
0,1,1,1,1,0,0,0,1,85,70,3,7,6,110.177
1,1,0,1,0,0,1,0,1,90,80,6,6,30,1115.58
1,1,0,0,0,0,0,1,1,65,75,3,0,8,99.88499999
0,1,1,0,1,0,0,0,1,85,5,5,6,107,1960.423
0,1,1,0,1,0,0,0,1,90,15,2,6,20,289.56
0,1,0,0,1,0,1,0,1,85,5,6,4,4,109.945
1,1,0,1,0,1,0,0,1,60,85,7,1,9,174.222
1,1,1,0,0,0,0,0,1,75,20,2,1,28,264.364
0,1,0,0,1,0,0,1,1,80,30,2,1,6,55.038
1,1,1,0,0,0,0,0,1,65,40,6,1,6,96.386
1,1,0,0,0,1,0,0,1,55,85,7,2,21,430.541
0,1,0,0,1,1,0,0,1,60,55,3,2,8,88.387
0,1,0,1,1,0,1,0,1,40,55,5,2,7,119.922
0,1,0,1,1,0,0,1,1,35,75,1,7,7,127.839
1,1,0,1,0,0,1,0,1,50,55,4,6,5,150.621
1,1,0,1,0,1,0,0,1,70,40,7,5,7,188.924
1,1,0,0,0,1,0,0,1,70,35,0,6,11,164.916
0,1,1,1,1,0,0,0,1,80,50,5,1,5,57.127
0,1,0,1,1,0,0,1,1,90,50,4,2,5,75.829
0,1,0,0,1,1,0,0,1,85,10,8,1,69,1132.52
1,1,0,1,0,0,1,0,1,30,85,6,8,6,250.044
0,1,0,0,1,0,0,1,1,75,25,8,3,4,110.264
0,1,0,0,1,0,0,1,1,65,35,7,0,5,86.555
0,1,0,1,1,1,0,0,1,65,55,4,2,8,95.512
1,1,0,1,0,0,0,1,1,20,70,5,8,4,157.178
0,1,0,0,1,1,0,0,1,85,65,7,3,20,362.084
0,1,0,0,1,1,0,0,1,70,80,3,5,14,209.837
0,1,1,0,1,0,0,0,1,85,50,7,8,5,123.406
1,1,1,1,0,0,0,0,1,55,65,2,7,5,104.673
0,1,1,1,1,0,0,0,1,15,90,0,3,17,114.566
1,1,1,1,0,0,0,0,1,30,90,5,4,5,97.823
1,1,0,0,0,1,0,0,1,70,60,7,6,6,178.683
0,1,0,1,1,0,0,1,1,70,90,7,1,5,90.011
0,1,0,0,1,0,1,0,1,60,55,4,0,7,83.619
1,1,0,0,0,1,0,0,1,80,70,1,2,35,332.199
0,1,0,1,1,0,0,1,1,30,65,4,0,12,124.447
1,1,0,0,0,1,0,0,1,30,60,1,1,501,3775.507
0,1,1,1,1,0,0,0,1,70,80,1,4,8,84.112
0,1,0,1,1,0,1,0,1,40,60,7,4,6,144.088
0,1,1,0,1,0,0,0,1,75,55,3,3,6,68.142
0,1,0,1,1,0,0,1,1,35,55,0,2,17,117.453
1,1,0,1,0,1,0,0,1,90,30,8,7,7,227.295
0,1,0,1,1,0,0,1,1,80,25,1,2,7,65.178
0,1,0,0,1,0,0,1,1,85,30,2,4,5,82.233
1,1,1,0,0,0,0,0,1,20,75,7,4,9,214.403
0,1,0,0,1,0,0,1,1,90,75,1,0,169,848.98
0,1,0,1,1,1,0,0,1,75,15,4,4,40,599.446
0,1,0,0,1,0,0,1,1,30,65,8,5,6,162.439
0,1,1,0,1,0,0,0,1,10,90,4,6,33,523.599
1,1,0,0,0,0,0,1,1,75,25,4,1,5,98.269
0,1,0,1,1,0,1,0,1,75,90,0,3,8,70.138
1,1,1,1,0,0,0,0,1,70,50,8,5,4,106.715
0,1,0,1,1,0,1,0,1,65,75,1,0,34,173.925
1,1,1,0,0,0,0,0,1,5,90,0,6,187,2662.271
0,1,1,0,1,0,0,0,1,55,60,1,5,6,70.019
1,1,0,0,0,1,0,0,1,85,85,2,6,78,1500.258
0,1,1,0,1,0,0,0,1,70,45,6,5,5,88.119
0,1,0,1,1,1,0,0,1,20,80,4,0,45,399.696
1,1,0,0,0,0,0,1,1,60,90,2,6,5,124.021
0,1,1,0,1,0,0,0,1,85,55,8,7,5,119.636
1,1,0,0,0,0,1,0,1,85,70,6,5,7,290.053
0,1,0,0,1,0,0,1,1,70,60,3,6,5,117.239
0,1,0,0,1,1,0,0,1,90,35,4,6,501,8424.123
0,1,0,1,1,1,0,0,1,90,10,6,2,85,1227.736
0,1,0,0,1,1,0,0,1,40,90,8,2,501,8403.722
0,1,0,1,1,0,1,0,1,90,65,5,1,13,189.034
1,1,1,1,0,0,0,0,1,20,70,0,6,7,102.545
0,1,0,1,1,0,1,0,1,20,75,1,3,28,303.466
1,1,0,0,0,0,0,1,1,90,80,4,6,31,959.933
0,1,0,0,1,0,1,0,1,70,30,5,4,5,102.755
