Spout_wait,Spliters,Counters,Throughput+,Latency-
8,4,8,17532,199.11
10,1,1,8904.2,342.47
1,3,12,18268,200.34
100,2,7,17395,189.31
5,4,8,17993,197.27
1000,6,7,3115.5,816.13
2,2,5,14916,228.45
5,4,4,15607,224.25
8,4,7,17134,210.88
100,1,9,13056,239.95
5,5,2,12719,245.87
100,6,11,19693,161.26
1,3,3,13484,246.75
7,3,17,22119,155.28
7,4,18,21293,172.79
6,2,4,15164,226.93
6,1,8,15459,211.54
9,2,6,15580,212.94
8,4,2,12539,240.6
1,4,5,15173,254.59
8,1,4,12864,248.52
8,3,13,20017,184.2
9,6,4,16336,208.52
5,5,6,16195,195.66
1,4,8,16533,212.25
9,3,5,16556,213.66
3,3,16,19103,172.01
1000,4,4,3291.8,780.65
10000,2,3,449.12,8028.7
5,4,18,21155,175.06
5,3,6,16482,209.67
1000,6,5,3243.1,789.55
9,6,11,19893,180.32
7,3,9,18581,183.62
3,1,1,8220.5,404.54
5,3,3,15168,222.38
5,5,9,18204,188.49
10,1,14,17349,186.54
4,4,11,19209,184.26
4,3,5,15654,220.2
3,5,2,12773,243.79
100,6,16,20132,172.29
8,2,18,18001,197.89
10,3,17,21811,153.72
1,3,8,16550,225.83
10000,2,18,575.38,6187.6
100,1,15,15287,213.8
7,2,18,17662,201.49
8,6,10,18971,168.22
5,2,18,17639,179.81
7,6,9,18573,185.3
9,1,18,15193,225.42
7,1,16,14295,229.42
1000,4,16,3267.1,794.02
1,4,7,15648,228.73
3,5,12,19548,189.32
10,4,7,17472,212.51
1,1,12,12239,263.31
5,6,9,18926,185.28
1000,1,11,2936.1,944.68
9,4,5,16296,214.04
6,5,5,15831,223.23
100,3,7,17151,198.51
10,1,16,14224,225.61
10000,3,9,642.12,5976.3
8,3,8,17876,200.75
1,4,13,18710,179.83
1,3,17,19818,185.14
1,6,9,17646,210.41
5,2,9,16802,216
9,5,4,16427,201.43
1,2,13,16286,186.2
8,5,1,9101.3,362.29
10000,1,5,579.53,4820.2
2,3,15,19434,180.54
9,6,8,18180,199.41
2,4,16,19321,188.85
9,1,3,13217,238.17
1000,3,16,3035.6,816.61
9,6,3,15837,217.33
5,6,15,20572,179.37
3,1,13,13984,227.01
1,2,11,16819,213.84
3,1,4,12158,264.35
8,5,6,15912,205.28
6,6,16,21221,171.2
3,6,14,18948,191.5
9,2,16,19705,183.72
8,6,16,21178,152.89
100,1,4,12321,252.99
4,2,18,17820,189.06
4,2,13,19047,182.28
1,2,17,18839,193.46
1000,3,1,2952.8,953.22
6,4,6,16674,191.74
100,4,8,16940,195.91
7,1,5,13982,226.03
1000,1,5,2790.8,932.62
2,5,4,15386,225.32
5,5,15,20974,175.37
5,4,10,18996,175.97
1,6,6,15571,221.22
100,3,14,19574,186.71
7,3,10,18560,180.7
6,1,5,14072,222.17
4,3,14,18268,196.77
5,6,10,20159,172.33
100,1,11,18255,169
9,1,10,14253,225.36
4,1,9,13562,241.96
3,1,8,14672,225.94
100,1,8,16693,190.83
1,2,18,15819,197.37
7,1,12,13775,228.97
1,2,6,14244,240.76
8,5,10,19032,170.73
10000,3,2,434,7092.8
100,3,11,18535,188.22
9,3,4,15909,219.19
9,3,3,15559,216.05
9,5,16,20168,176.73
8,6,12,20300,172.5
8,4,5,16945,210.6
3,6,2,12603,237.77
7,6,18,21098,166.01
1000,5,13,3243.1,758.18
3,6,8,17687,205.63
10,6,14,20372,183.94
6,4,14,18883,171.99
5,5,3,15595,212.96
1000,4,8,3231.3,807.8
1,3,11,17484,196.27
4,5,10,18873,189.94
7,4,13,20307,183.41
6,3,15,19994,159.31
10,5,16,20338,168.89
4,5,6,16918,209.14
6,2,5,15739,220.35
8,5,7,17365,185.84
4,2,2,12491,261.6
3,3,8,17085,212.64
10000,2,9,579.38,6812.1
5,2,3,13744,249.61
3,5,16,19967,184.23
5,4,1,9285.2,331.36
2,6,10,19480,188.78
8,1,15,14442,214.87
7,5,1,9911,358.43
100,1,17,18676,174.21
4,1,7,13781,247.06
2,1,6,12043,254.55
4,5,16,18676,189.39
5,5,12,19529,169.53
1,1,1,8006.2,419.16
8,2,12,17870,209.21
9,5,6,16927,209.78
9,3,10,20246,174.74
5,5,16,19334,173.59
10,3,4,15512,212.82
7,4,3,15573,219.55
1000,2,9,3056.3,857.09
3,5,7,16846,206.99
100,5,13,20157,168.73
9,3,16,20945,161.78
5,6,13,19954,193.66
2,4,17,19333,176.63
1,3,1,7905.6,416.37
4,2,12,16121,199.59
8,4,12,20574,178.1
100,2,6,16379,198.23
7,5,17,21396,161.71
10,3,2,12344,243.08
10,4,10,19437,177.05
5,2,4,14860,224.41
5,5,8,17449,189.07
1,1,11,14500,229.24
8,3,6,16310,205.86
100,6,12,19826,167.6
6,3,14,19247,178.88
1000,1,12,2890,962.59
7,4,14,19196,184.24
2,2,13,17908,207.82
10,5,10,18769,186.53
10,6,18,22124,148.88
9,3,2,13232,245.1
100,5,8,18330,196.8
100,3,2,12879,259.1
4,3,3,14984,212.78
1000,3,4,3174.3,802.5
7,3,7,17098,201.15
1000,1,7,3058.1,941.23
4,6,17,21629,162.25
8,6,17,22887,172.74
1,2,16,18331,198.49
6,6,1,9523.8,341.67
9,6,16,21176,174.91
4,3,15,20030,199.68
4,5,1,9560.1,368.29
5,2,7,16747,198.78
10,6,1,9863.8,337.42
5,2,11,17492,212.48
5,6,18,21822,176.48
7,6,6,16851,192.84
10,4,5,17027,194.44
2,3,6,15960,224.49
3,5,8,16913,195.85
2,4,18,19208,175.4
7,5,4,15851,213.26
7,2,2,12429,247.83
2,1,5,13998,218.03
4,5,7,16961,206.56
6,6,3,15529,218.6
9,1,5,15014,216.29
5,3,5,16101,221.88
7,4,7,16671,216.34
6,5,14,19236,206.19
1000,6,8,3297.9,752.06
7,5,3,15416,206.68
7,2,9,16159,210.41
3,3,11,17772,190.27
4,1,14,16755,195.36
3,1,12,13273,245.45
8,2,9,16869,216.81
6,4,8,16981,207.94
1000,3,13,3136.9,821.6
2,2,7,15682,216.74
2,1,14,16567,199.75
100,3,13,19581,175.88
2,4,15,20094,167.28
1,6,13,17982,185.49
7,1,6,13429,243.7
1,5,3,13665,247.65
6,5,18,21684,175.82
10,6,5,16330,216.8
4,6,15,20591,173.86
9,1,17,18035,183.24
9,2,1,9119.2,343.7
1000,5,2,2990.2,906.51
8,4,3,15841,219.31
3,2,2,12331,265.24
9,3,13,19623,176.51
8,5,17,21828,156.42
1,6,10,18354,189.74
2,6,4,14834,221.29
4,6,5,15741,223.32
10000,1,7,458.25,7869.6
100,4,10,18951,185
9,2,4,15208,213.92
5,1,2,12419,249.4
3,6,16,19563,186.97
