A,B,C,D,E,F,G,H,I,J,K,A-,B-
1,1,1,1,1,0,0,1,0,0,0,214.72,13
1,0,1,0,1,0,0,0,1,1,0,241.02,28
1,0,1,1,1,0,0,0,1,0,1,233.66,28
1,1,0,1,1,0,0,1,0,1,1,250.57,16
1,1,0,0,1,0,0,1,1,1,0,253.64,19
1,1,0,1,1,0,0,0,1,1,1,251.71,28
1,0,0,1,1,1,1,0,0,1,1,234.45,28
1,0,0,1,0,1,1,1,1,1,1,260.69,19
1,1,1,1,1,1,0,1,1,0,0,234.08,18
1,1,1,0,1,1,0,1,1,1,0,254.26,20
1,1,0,1,1,0,0,1,1,0,0,229.12,19
1,0,1,1,1,1,0,1,1,0,0,230.47,19
1,1,1,0,1,0,0,0,1,1,1,253.51,28
1,1,0,0,0,1,0,0,0,0,0,201.83,29
1,1,0,1,0,1,0,0,1,0,1,232.59,28
1,0,1,1,1,0,0,1,0,0,1,265.38,11
1,0,1,1,1,1,0,1,1,0,1,251.91,18
1,1,1,0,1,1,0,1,0,0,1,266.03,12
1,1,1,0,1,1,0,0,1,0,0,224.18,29
1,0,0,0,1,1,0,1,0,1,1,248.6,16
1,0,0,0,0,0,0,0,0,1,0,219.15,29
1,1,1,0,1,0,1,1,1,1,0,254.34,19
1,0,1,0,1,1,0,0,1,0,1,234.87,28
1,1,0,0,1,0,0,0,0,1,0,226.5,29
1,0,0,0,0,1,0,0,0,1,0,222.24,29
1,0,0,1,1,1,1,0,0,1,0,225.77,28
1,0,1,1,1,0,0,0,0,1,1,235.12,28
1,1,1,0,1,0,0,0,0,1,1,237.9,28
1,1,1,0,1,0,1,1,0,0,1,263.31,12
1,1,1,0,1,1,0,1,1,0,0,232.76,18
1,0,0,0,1,0,0,1,1,1,0,247.08,19
1,0,0,1,0,1,0,0,0,1,1,231.89,28
1,0,0,0,1,0,1,1,1,1,1,262.22,18
1,1,0,1,1,0,1,0,0,1,1,236.98,28
1,0,1,0,1,1,0,1,1,1,1,264.16,19
1,1,1,1,1,0,1,0,0,1,1,239.96,28
1,0,0,1,0,0,1,1,1,0,1,246.01,19
1,1,0,0,1,0,1,0,0,0,0,203.56,29
1,1,1,0,1,1,0,1,0,1,0,242.55,15
1,0,1,1,1,1,1,0,0,1,1,237.35,28
1,1,1,0,1,1,0,1,0,0,1,263.58,12
1,0,1,1,1,1,1,0,1,1,0,242.74,28
1,1,0,0,1,1,1,1,0,1,1,255.42,15
1,0,1,0,1,1,0,1,0,0,0,215.94,14
1,0,1,0,1,0,0,1,1,0,0,227.4,18
1,0,1,0,1,0,0,0,0,1,1,234.05,28
1,1,1,0,1,0,0,0,0,0,1,218.4,26
1,1,1,1,1,1,1,1,0,1,0,245.34,15
1,0,0,1,1,1,1,0,0,0,1,216.91,29
1,0,1,0,1,1,1,0,0,1,1,236.38,27
1,0,0,1,1,1,1,1,1,0,1,249.36,18
1,0,0,1,0,0,0,1,0,0,0,208.37,15
1,1,1,0,1,1,1,0,1,0,1,237.41,28
1,1,1,0,1,0,1,0,0,0,1,217.06,28
1,0,1,1,1,0,0,0,1,1,0,241.97,28
1,1,1,0,1,1,0,1,1,1,1,268.58,19
1,1,0,1,1,1,0,1,1,0,1,249.83,18
1,0,1,1,1,0,0,1,0,1,0,237.44,15
1,0,1,1,1,1,0,0,0,1,1,234.95,28
1,1,1,1,1,1,0,0,1,0,1,236.17,28
1,1,0,1,0,1,1,1,1,1,1,265.42,19
1,1,1,1,1,0,1,0,0,1,0,231.31,28
1,0,1,0,1,1,1,1,1,0,1,251.52,18
1,0,1,0,1,0,1,1,0,0,0,215.31,14
1,0,0,1,0,1,0,0,1,1,0,239.37,28
1,1,1,0,1,0,1,0,0,1,0,228.94,28
1,1,0,1,1,0,1,1,1,1,1,266.09,19
1,0,1,1,1,0,1,0,0,1,1,234.24,28
1,0,1,0,1,0,1,0,1,1,0,240.22,28
1,1,0,1,0,1,0,0,0,0,0,203.19,29
1,0,1,1,1,1,0,1,0,0,1,263.75,12
1,0,0,1,1,1,0,0,0,0,1,216.27,29
1,1,0,0,0,1,0,0,0,1,1,235.51,28
1,1,0,0,1,0,1,1,0,1,0,240.62,16
1,0,0,0,0,1,0,0,1,0,0,217.7,29
1,1,1,0,1,1,1,1,1,1,0,258.05,20
1,1,0,0,1,1,0,0,0,1,0,229.24,28
1,1,0,0,0,1,1,1,0,0,1,259.38,12
1,1,0,0,0,0,1,0,1,0,1,232.47,28
1,1,0,1,0,1,1,1,0,1,1,251.03,15
1,0,0,1,0,0,0,0,1,0,0,217.29,29
1,0,1,0,1,1,0,1,0,0,1,265.4,12
1,1,1,0,1,0,0,0,0,1,0,229.79,29
1,1,0,0,1,1,1,0,0,1,0,229.82,28
1,1,1,1,1,0,1,1,1,1,0,257.54,20
1,1,0,1,1,1,1,0,1,1,1,253.57,28
1,0,0,0,1,0,0,1,0,0,1,256.94,11
1,1,1,0,1,1,1,0,0,0,0,207.89,29
1,1,1,0,1,0,0,0,0,0,0,205.99,26
1,1,1,1,1,0,0,0,1,1,1,254.34,28
1,1,0,0,1,0,1,0,0,1,1,237.06,28
1,1,1,0,1,0,1,1,0,1,0,239.56,15
1,0,0,1,1,1,0,0,1,1,1,249.46,28
1,0,1,0,1,0,0,1,0,0,0,214.25,14
1,0,0,1,0,0,1,0,0,1,0,222.56,29
1,0,1,0,1,1,1,0,1,1,0,243.26,28
1,1,1,0,1,0,0,1,1,1,0,253.05,19
1,1,1,0,1,1,0,0,1,0,1,235.85,28
1,0,1,0,1,0,0,0,0,1,1,232.18,28
1,1,0,0,0,0,0,0,1,0,1,232,28
1,0,1,1,1,0,1,1,0,0,1,265.65,12
1,1,0,1,1,1,0,0,1,0,0,222.27,29
1,0,0,1,1,1,1,1,1,1,0,250.86,20
