Max_spout,Spliters,Counters,Throughput+,Latency-
1000,2,14,63127,141.81
100,1,13,54443,17.328
1000,5,11,56833,182.63
1000,4,5,48125,216.95
1,4,9,6256.8,1.6328
1.00E+06,2,14,87119,26320
1.00E+05,2,8,61056,14804
10,5,6,30234,3.341
1,3,9,6753.5,1.5161
10000,2,13,71459,387.57
10,1,8,28536,3.5172
100,2,18,55966,16.927
10,3,17,29452,3.4393
10000,2,5,56752,1746.6
1.00E+05,3,9,57433,925.43
1.00E+06,1,17,78498,55374
10,1,18,27734,3.6682
100,3,2,51763,19.574
1.00E+05,3,2,64186,709.56
1000,5,16,53494,190.48
1.00E+05,2,1,36915,25965
1.00E+06,6,4,45085,653.92
1.00E+05,6,11,48833,528.02
100,6,12,47366,20.042
1,1,5,5534.5,1.8374
1.00E+05,2,14,75299,10531
10000,6,5,43547,681.48
10,5,10,30269,3.3514
1,3,17,6265.2,1.6202
1,3,10,6839.8,1.5172
10,5,17,28762,3.4509
1,1,17,5190.9,1.9543
10000,5,11,56989,830.78
100,3,9,53573,18.501
1000,3,14,60581,167.99
10,3,9,30268,3.358
10000,2,8,57685,1722
1000,6,5,44651,200.39
10,3,8,30063,3.3333
1000,3,9,57754,175.03
1,3,15,6513.8,1.5659
10000,4,7,58163,722.58
10,2,6,32716,3.0902
100,3,5,48057,20.875
10000,5,12,56196,775.45
10000,4,17,56387,877.9
1.00E+06,4,15,56222,821.53
1.00E+05,3,6,54630,831.75
100,4,9,49746,19.719
1.00E+06,1,13,81950,55477
10,5,15,28524,3.5358
1,6,11,7037.9,1.4329
10000,3,9,57998,731.92
1.00E+06,2,15,77306,17328
1,5,2,7467.6,1.4
100,2,2,46785,21.854
1000,2,5,50993,205.93
1000,4,13,58388,171.97
10000,5,1,26744,1486.5
10000,3,4,53813,1140.1
10000,3,12,58415,783.82
1.00E+06,5,15,54619,965.73
10,2,14,29973,3.3283
1,4,16,6251.3,1.6295
100,1,3,49918,20.812
1,1,11,5300.4,1.9305
10,5,4,30228,3.3734
1.00E+05,6,15,47606,525.63
10000,1,1,50789,2008.5
1000,6,3,43097,217.53
10000,6,18,46995,591.56
1.00E+05,5,1,28325,1347.7
1.00E+06,5,9,55087,865.8
1,2,18,5351.2,1.8451
1000,3,10,55308,184.64
1.00E+06,4,17,55664,1011.6
1000,3,11,58614,169.62
10,5,12,28589,3.5364
10,1,3,28894,3.4678
1000,3,12,60301,165.5
10,5,8,30839,3.3064
1.00E+06,3,10,56862,827.55
100,2,4,45332,21.875
10,4,4,30830,3.2615
1000,3,15,57738,170.5
1000,6,4,45218,192.37
10000,6,10,45921,468.44
1.00E+06,1,14,95094,36603
10000,6,9,45982,489.29
1000,2,15,66965,136.33
1.00E+06,4,2,31507,1210.1
1000,5,3,41825,252.3
1000,2,8,49891,206.25
1.00E+06,4,4,41062,897.43
1000,6,9,47213,181.57
1000,3,7,48022,213.83
1000,4,10,55124,184.06
10000,1,7,59942,1727.8
100,3,11,54634,18.193
100,5,4,39310,26.083
1,2,13,5602.6,1.852
1,6,12,7165.7,1.4295
100,1,6,51659,20.06
1.00E+06,2,16,69749,309.65
1,2,5,5846.6,1.8195
10,3,7,30044,3.3138
100,6,4,43909,22.236
10,1,1,28203,3.4546
1.00E+05,3,17,54411,883.79
100,4,6,49121,20.616
100,2,14,55727,18.091
100,1,5,47456,21.389
1,2,12,5577.5,1.8543
100,4,8,49490,20.154
10,2,8,31045,3.2466
1000,6,2,54774,146.53
100,4,18,50439,19.912
10,3,11,30027,3.3538
1.00E+06,6,10,45823,549.69
100,3,17,53660,18.863
1000,5,13,59666,171.3
1.00E+05,1,2,56635,16829
1.00E+06,5,7,49609,887.94
1.00E+05,1,10,65424,13340
1000,4,7,59354,172.53
1,6,7,7767.6,1.331
1000,1,7,58797,173.93
1000,2,11,61353,156.71
100,2,10,54155,18.162
100,4,12,50747,19.686
1.00E+05,2,6,62921,14513
10000,2,7,66185,1301.6
100,5,11,53875,18.737
1,6,14,6914.1,1.4566
1.00E+06,6,7,39864,904.82
100,5,16,49782,20.192
1.00E+05,1,6,64450,15049
100,4,10,50731,20.16
10000,4,3,36455,1007.8
10,3,16,29242,3.4624
1.00E+06,6,13,47157,529.31
100,5,3,40247,25.347
10,6,12,31526,3.1931
1.00E+05,4,18,52242,883.67
1.00E+06,5,5,48852,821.36
100,2,8,47480,21.423
100,4,13,52643,19.134
1,5,5,7114.6,1.4161
1.00E+06,3,18,57632,871.26
10,1,15,27492,3.6191
1000,5,18,59279,171.49
1.00E+05,1,15,64561,15257
1.00E+05,3,10,55855,791.55
100,5,1,30879,32.695
1.00E+06,5,10,54691,808.49
1.00E+06,2,4,55321,63627
1.00E+05,3,11,58079,773.62
10000,2,16,72028,364.41
1000,5,8,55600,183.07
1000,2,12,62880,143.2
100,6,9,45665,20.214
1000,3,17,59539,175.9
1.00E+05,4,3,36917,1175.7
1.00E+06,4,18,55566,952.86
1.00E+06,1,7,65052,71448
1000,4,12,54865,184.36
1000,2,2,47925,212.72
10000,6,4,43014,743.21
10000,5,9,54385,760.35
100,6,8,47814,19.547
1.00E+06,3,15,59941,860.92
100,4,15,52719,19.139
1,5,11,6673.1,1.5382
10,3,6,30616,3.3052
1000,2,1,41689,239.02
10000,5,18,55113,791.62
1.00E+05,5,2,34813,1027.4
1000,3,1,53563,187.28
100,2,6,47652,21.37
1000,1,8,53505,174.83
1,2,17,5381,1.9208
100,1,8,51198,20.136
10,1,5,28189,3.5178
1.00E+06,1,12,85232,40805
1.00E+05,1,9,67355,14309
1,3,11,6678.2,1.5247
10000,2,2,48986,2043.7
100,6,5,46010,21.097
1.00E+06,6,15,50244,522.62
1.00E+05,4,8,51106,910.94
1.00E+05,3,3,43551,806.48
1000,3,18,60789,167.77
10,2,18,30311,3.3197
10,1,6,28862,3.5443
1.00E+06,4,16,56789,873.29
1.00E+06,4,11,54485,799.59
1.00E+05,5,14,52484,891.42
100,3,14,55033,18.287
10,4,5,30406,3.3592
1.00E+06,6,17,45327,520.84
1,4,4,6916.1,1.4471
1.00E+05,3,14,59394,791.86
1.00E+06,2,12,79508,17401
10000,2,1,37052,2735.3
1.00E+06,4,10,54489,824.36
1000,6,16,45229,193.45
1,3,7,7266.3,1.4241
