A,B,C,D,E,F,G,H,I,J,K,A-,B-
1,1,0,1,0,0,1,0,1,1,0,242.56,28
1,0,0,0,0,0,0,0,1,1,0,234.87,29
1,1,1,1,1,0,0,1,1,0,0,230.54,18
1,1,0,0,1,0,1,0,1,1,1,253.49,28
1,1,1,0,1,1,1,1,0,0,0,215.95,14
1,1,1,1,1,1,0,0,0,1,0,230.65,29
1,1,1,1,1,0,1,1,0,0,0,215.74,14
1,1,1,1,1,1,0,0,0,1,0,232.2,28
1,1,0,1,0,1,0,1,0,0,1,260.41,12
1,0,0,1,1,0,1,1,1,0,0,227.99,18
1,1,0,0,0,0,1,0,0,1,0,226.7,29
1,0,0,1,1,1,0,1,0,1,0,235.53,16
1,1,0,1,0,0,0,1,1,0,0,227.15,19
1,1,0,0,0,1,0,0,1,1,0,243.52,28
1,0,0,0,0,1,1,1,1,0,0,226.75,18
1,1,1,0,1,1,0,1,0,1,0,240.23,15
1,1,0,0,1,1,0,1,0,1,1,254.27,16
1,1,1,0,1,1,1,1,1,0,1,252.68,18
1,1,1,0,1,0,1,0,0,1,0,228.94,28
1,1,1,0,1,1,1,0,1,1,1,254.12,28
1,1,1,1,1,0,0,1,1,0,1,252.27,16
1,0,0,0,0,0,0,0,1,1,1,246,28
1,0,0,1,0,1,0,0,0,0,0,201.47,29
1,1,0,1,0,1,0,1,1,0,1,247.87,18
1,0,0,1,1,0,0,1,0,1,1,246.09,15
1,0,1,0,1,0,1,0,0,1,1,235.23,27
1,0,0,0,1,1,0,0,1,1,0,240.34,28
1,0,0,0,0,1,0,0,1,1,0,238.73,28
1,1,1,1,1,0,1,1,1,1,0,257.54,20
1,0,1,1,1,0,1,1,0,0,1,265.65,12
1,0,1,0,1,0,0,1,1,0,0,227.4,18
1,1,0,1,0,1,0,0,1,1,0,243.12,28
1,0,1,0,1,1,1,0,1,1,1,251.98,28
1,0,1,0,1,0,1,0,1,1,0,240.22,28
1,0,1,1,1,1,1,1,0,0,1,267.07,12
1,1,1,0,1,1,0,1,1,0,0,232.76,18
1,1,0,0,0,0,0,0,0,0,1,213.27,26
1,1,0,0,1,1,1,1,0,0,0,215.37,15
1,1,0,1,1,0,1,0,0,0,0,204.51,29
1,1,1,1,1,1,0,0,1,0,0,223.29,29
1,0,1,0,1,0,1,1,0,0,1,264.18,12
1,0,1,1,1,0,1,0,0,0,0,204.05,29
1,0,1,0,1,0,0,0,1,0,1,233.45,29
1,1,0,1,0,0,1,0,0,1,0,226.65,29
1,0,0,0,0,1,0,1,1,1,0,246.94,20
1,1,1,1,1,0,0,0,0,1,0,229.17,28
1,1,1,0,1,0,0,1,1,0,0,231.39,18
1,1,1,1,1,1,1,0,1,0,0,223.77,29
1,1,0,1,1,1,1,0,0,1,0,230.13,28
1,0,1,1,1,0,1,0,0,0,0,205.71,29
1,0,0,1,0,1,0,0,1,0,1,231.63,27
1,0,1,1,1,0,1,1,0,0,0,214.31,14
1,0,0,1,1,0,0,1,1,1,1,260.17,19
1,0,1,1,1,0,1,1,0,0,0,216.91,14
1,1,0,0,1,1,1,0,1,1,1,254.42,28
1,1,0,1,0,0,0,1,0,0,0,210.24,14
1,1,1,1,1,0,0,1,0,0,0,217.29,14
1,1,1,0,1,1,1,0,0,1,0,231.8,28
1,0,0,0,0,0,0,0,0,1,1,228.3,29
1,0,1,0,1,1,0,0,1,1,1,249.72,28
1,0,1,1,1,0,1,0,0,1,0,225.69,29
1,0,0,1,0,1,1,0,1,1,1,248.9,28
1,1,1,1,1,0,0,0,0,1,1,238.75,28
1,1,1,0,1,1,0,0,1,0,0,224.18,29
1,1,1,1,1,1,1,1,1,0,0,234.68,19
1,0,1,1,1,1,0,0,0,1,1,234.95,28
1,0,0,0,0,0,1,0,1,0,0,217.09,29
1,0,0,1,0,0,1,1,0,0,0,209.84,14
1,1,1,0,1,1,1,0,1,0,0,224.51,29
1,0,1,0,1,0,0,0,1,1,1,248.69,28
1,0,0,0,1,1,1,1,1,1,1,263.59,19
1,1,0,0,0,1,0,1,1,1,0,253.26,20
1,1,0,1,1,0,1,0,1,1,0,244.26,28
1,1,1,0,1,0,1,1,0,1,0,242.5,15
1,0,0,0,0,0,0,1,0,0,1,241.78,14
1,1,0,1,1,1,1,1,1,1,1,267.17,19
1,0,1,1,1,1,0,1,0,0,0,215.01,14
1,1,1,0,1,0,1,1,0,0,1,264.74,12
1,1,0,1,0,1,0,0,0,1,1,235.85,28
1,1,1,1,1,1,0,0,1,1,1,255.43,28
1,0,0,1,0,0,1,0,1,0,1,231.76,29
1,0,1,1,1,1,0,1,0,1,0,237.04,15
1,1,0,1,0,1,1,1,0,1,1,251.03,15
1,1,0,1,1,0,1,0,1,0,1,234.75,28
1,1,1,0,1,0,1,0,1,1,1,254.47,28
1,0,0,1,0,1,1,1,0,1,0,234.34,15
1,1,0,1,1,0,0,1,0,0,1,260.88,12
1,0,1,0,1,1,0,1,0,0,1,265.4,12
1,0,0,0,1,0,1,0,0,1,1,232.49,28
1,1,0,0,0,0,0,0,1,1,0,240.16,29
1,0,1,1,1,1,0,1,0,0,1,263.75,12
1,0,1,0,1,0,0,1,1,1,1,262.66,19
1,0,1,0,1,0,1,1,1,0,1,248.42,18
1,1,1,0,1,0,1,1,1,0,1,249.49,18
1,0,0,1,1,1,1,1,1,0,1,249.36,18
1,0,0,1,0,0,0,0,0,0,0,199.95,26
1,0,0,1,1,0,1,1,1,0,1,248.03,19
1,0,0,1,1,0,1,1,0,1,1,247.01,15
1,0,1,1,1,0,0,1,1,1,1,261.44,19
1,1,1,0,1,0,0,1,1,1,0,253.05,19
1,0,0,0,0,1,0,1,1,0,0,226.13,18
1,1,0,0,0,1,1,1,0,0,0,212.71,15
1,0,0,0,0,0,1,1,0,1,1,245.21,16
1,1,0,1,1,1,1,1,1,1,0,255.62,20
1,0,0,1,1,0,0,0,1,0,1,232.65,27
1,0,1,0,1,0,0,0,0,0,1,215.61,26
1,1,0,0,0,0,0,0,1,0,1,232,28
1,1,0,1,0,0,0,0,0,0,1,214.33,26
1,1,0,1,1,1,0,0,0,0,1,217.07,29
1,0,1,0,1,0,0,1,1,1,0,249.81,19
1,0,1,1,1,1,1,1,0,0,1,263.78,12
1,1,1,1,1,1,0,0,0,0,0,208.05,29
1,1,0,0,0,0,1,0,1,1,1,251.85,28
1,1,1,1,1,0,0,1,1,0,0,232.52,18
1,1,1,0,1,0,0,1,1,0,1,251.24,16
1,0,1,0,1,1,1,1,1,0,1,251.52,18
1,0,0,0,1,0,1,0,0,0,0,201.7,29
1,0,0,0,1,0,1,1,0,0,0,211.59,15
1,0,0,0,1,1,0,1,0,0,1,258.9,12
1,0,1,0,1,1,1,0,1,1,1,250.53,28
1,1,1,1,1,1,0,1,1,0,1,253.15,18
1,1,0,1,0,0,1,0,1,0,0,219.91,29
1,1,1,0,1,1,0,0,1,1,0,244.73,28
1,1,0,1,0,0,0,0,1,1,0,241.7,29
1,1,0,1,0,1,0,1,1,1,0,252.14,20
1,1,1,0,1,1,1,0,1,0,1,237.41,28
1,0,1,0,1,1,1,0,0,1,0,226.09,28
1,0,1,0,1,1,0,1,1,0,0,229.07,19
1,0,1,0,1,1,0,0,0,1,1,235.7,28
1,0,0,1,0,1,1,0,1,0,1,233.15,29
