Spouts,Max_spout,Spout_wait,Spliters,Counters,Netty_min_wait,Throughput+,Latency-
1,10000,100,3,3,100,16340,5262.8
1,100,100,1,1,10,7323.1,137.15
3,1,10,6,3,1000,2675.8,10.608
3,1,2,6,6,10,6121.9,4.9153
1,2,1,1,6,1000,4122.1,4.6654
3,10000,2,3,3,1000,7450.4,49528
3,100,3,1,3,100,12871,257.63
1,100,1,2,12,10,21658,49.909
1,1,10,3,12,100,867,10.754
3,2,10,3,3,10,5200.7,11.066
1,2,100,3,6,10,199,100.95
1,1000,1,6,6,1000,18240,633.45
1,10,10,2,6,10,8030.2,12.179
3,2,3,6,3,100,9121.1,6.3325
3,100,10,3,6,1000,16990,194.8
3,10000,1,2,6,100,10425,23302
1,10,1,2,12,1000,11698,10.006
1,1000,2,1,6,10,15908,646.97
3,100,10,1,6,10,12968,254.97
3,1,100,2,3,10,280.71,99.994
3,100,2,3,1,10,9133.2,373.01
3,1000,10,2,3,1000,14747,1804.1
1,10000,2,2,12,100,32175,4220
1,1,1,2,6,10,2177.6,4.6177
3,100,3,3,6,10,16485,212.1
3,10,10,6,6,100,17655,18.473
1,100,1,6,1,1000,8520.8,116.83
1,1,100,2,3,100,96.176,100.51
1,1,10,6,1,1000,890.24,10.881
1,100,2,2,3,1000,13626,77.249
1,1,2,2,3,100,2059.7,4.9987
3,10,3,6,3,100,16992,19.744
1,1000,2,3,12,1000,17502,601.38
3,1,2,1,3,1000,5454.2,5.669
1,10,3,3,12,1000,10712,9.1431
3,2,10,1,6,10,5406.8,11.35
3,1,100,6,3,1000,278.47,100.38
1,10,3,3,3,100,11971,8.7506
3,1,1,3,12,1000,6714.8,4.4296
1,1,100,1,12,1000,90.25,100.4
3,10,2,1,1,1000,8154.2,39.956
1,10,1,6,12,1000,12519,9.7051
1,1000,2,2,6,10,18478,623.41
3,10,3,6,12,1000,17176,19.064
3,10,2,6,6,100,17916,17.572
3,100,10,2,12,1000,16600,204.24
1,1000,10,1,12,10,17225,612.78
3,10000,1,1,1,10,4989.1,40806
1,100,2,1,12,1000,15115,70.434
1,2,10,2,3,100,1786.2,10.792
3,2,100,3,12,10,541,100.4
3,10000,2,3,6,1000,11105,30305
1,2,2,1,3,100,3664.1,5.3532
1,100,100,3,6,10,8790.9,115.08
1,10000,10,6,6,100,26511,3436.7
3,1,3,3,3,10,5864.2,5.2855
3,10,3,1,1,100,8032.4,38.603
3,2,100,2,1,1000,573.41,100.27
3,2,100,6,12,100,552.06,100.41
3,100,10,3,12,10,19910,170.42
1,10,2,3,3,1000,12765,8.3268
3,10000,3,6,12,10,8706.2,27235
1,2,1,6,1,100,4752.2,4.1051
1,100,10,1,12,1000,15945,67.393
1,1,1,6,6,10,2842.4,7.6576
1,100,1,2,1,1000,8328.4,130.98
3,1000,10,3,12,1000,32588,1289.7
3,2,2,1,1,10,8042.7,7.8616
3,1,100,3,6,1000,266.56,100.4
3,10000,100,6,6,1000,8816,34806
3,10,100,6,12,10,2783.2,103.93
3,1000,2,1,1,100,4535,7344
1,100,1,6,1,10,8200.5,121.51
1,1,3,6,12,10,1943.5,5.2083
3,1,1,6,3,10,6977.6,4.3121
3,1,100,6,3,100,285.56,100.43
3,1,1,6,6,10,6775,4.4675
1,100,1,6,12,1000,14318,75.42
1,2,100,1,12,100,196.24,100.5
3,1,1,6,12,10,6425.1,4.5494
