A,B,C,A-,B-
6,15,3,14.19521839,10.972042
7,35,4,15.56718368,13.49537757
2,1,5,7.8008999,4.813273326
6,8,3,13.71478213,10.59422542
1,4,5,9.038918989,5.849099186
1,1,5,7.087462841,3.866651431
6,7,4,13.31599862,10.37635785
5,35,4,13.8864587,12.99935382
6,1,5,11.43201985,6.942698771
4,25,3,12.79095933,11.14327081
0,8,4,9.095397023,6.02339954
1,36,1,10.09275714,9.736811715
3,32,5,12.84588203,10.53302527
5,7,3,12.73914771,10.03234148
3,25,4,12.04916787,10.51527408
5,4,5,12.37150441,8.565523889
0,8,5,9.97441459,5.773587653
0,22,4,10.27262979,7.208748533
6,4,5,13.26737193,8.566591824
1,2,5,8.113742166,4.866478395
6,36,2,14.62804676,13.51134515
0,1,5,7.098032083,2.858160813
3,4,5,10.53138146,7.654109752
2,19,4,10.92407019,8.752437003
5,36,1,13.52380696,13.23156242
7,25,4,15.57062658,11.44961151
7,15,3,14.85987446,10.75194128
6,25,3,14.64103567,11.28664203
7,15,4,15.06659378,10.79590938
1,15,4,9.914385132,7.422663507
8,25,4,16.20472396,11.73287415
0,4,5,9.019590728,4.849816643
2,2,5,8.781359714,5.841435146
8,1,5,13.30976054,7.537930924
4,8,3,11.97835296,9.557560706
3,8,4,10.87728413,8.708210224
4,32,5,13.76103174,11.00016159
3,7,4,10.75154406,8.522529897
1,8,5,9.896332404,6.766133409
5,15,3,13.27888499,10.37268453
1,14,4,9.818582177,7.226333592
6,8,5,14.31288296,9.170858366
7,8,4,14.35211241,10.73711949
5,7,4,12.51619248,10.18870654
1,36,2,10.37068741,9.771066822
1,32,5,11.03960452,8.783424695
2,36,2,11.22641219,10.67300254
5,35,3,13.61401961,13.00194029
4,16,5,12.82376528,10.34300032
5,8,5,13.26971112,9.51180174
