Width,Complexity,Fifo,Multiplier,Energy-,Inv_runtime-
7,1,3,2,6.775695869,4.998378999
7,1,1,10,7.408083432,5.099070723
6,1,2,20,7.978390142,5.111081381
4,0,2,50,8.900257005,5.101620629
4,1,2,1,7.254650728,4.68779634
6,0,1,10,7.162582668,5.102447958
5,1,4,50,8.947271652,5.114503927
6,1,1,50,8.902718788,5.117955552
5,1,3,100,9.766851864,5.117965171
4,0,3,5,7.075885561,5.041577674
5,1,2,20,8.059182199,5.107607992
3,1,1,100,9.965784285,5.066154451
4,1,3,10,7.782709969,5.08035737
7,1,1,1,6.673217192,4.878722314
7,0,1,20,7.739753612,5.115354732
7,0,1,1,6.144515496,4.923426501
3,0,4,2,7.353587949,4.71815563
3,0,1,50,9.069460509,5.061161897
5,0,3,1,6.415403762,4.837142461
5,1,1,50,8.947271652,5.114503927
4,1,2,20,8.21162552,5.093925707
5,1,4,100,9.766851864,5.117965171
3,1,3,100,9.965784285,5.066154451
7,0,1,10,7.113783832,5.104157682
3,0,2,1,7.285531686,4.401580549
4,0,4,2,6.812883235,4.915289944
3,1,1,20,8.548710187,5.046250314
4,0,1,5,7.075885561,5.041574063
6,1,4,20,7.978390142,5.111081381
4,0,1,20,7.958239493,5.096536076
7,1,2,50,8.880039571,5.119684617
7,1,2,10,7.408083432,5.099070723
5,1,3,50,8.947271652,5.114503927
3,1,3,10,8.211260476,5.020135758
7,1,2,2,6.775695869,4.998378999
7,1,3,20,7.937150152,5.112800375
3,0,2,100,9.858304322,5.066162087
3,0,1,5,7.540786742,4.946184483
5,1,4,5,7.2638701,5.058114363
7,1,2,1,6.673217192,4.878750454
6,0,3,1,6.24014257,4.894785504
5,0,2,1,6.415403762,4.837142461
3,1,3,1,7.835102979,4.33936051
6,1,3,20,7.978390142,5.111081381
7,0,2,1,6.144515496,4.923426501
3,0,4,20,8.239068608,5.051194744
3,1,3,2,7.881933754,4.679288806
4,0,2,20,7.958239493,5.096536076
4,1,1,5,7.513411787,5.031031867
5,1,3,5,7.2638701,5.058114363
5,0,3,50,8.830730684,5.115372185
7,1,1,20,7.937150152,5.112800375
5,0,1,20,7.834932386,5.110228707
6,1,4,1,6.771370616,4.850979895
6,1,1,10,7.466488455,5.097367013
5,1,3,1,6.951937423,4.79503586
6,0,4,10,7.162582668,5.102447958
6,0,1,1,6.24014257,4.89476559
3,1,1,50,9.251482411,5.059483872
4,1,1,20,8.21162552,5.093925707
