A,B,C,A-,B-
2,7,4,10.07146236,7.804959873
2,2,5,8.781359714,5.841435146
7,25,4,15.57062658,11.44961151
6,15,3,14.19521839,10.972042
2,19,3,10.64385619,8.675316106
0,1,5,7.098032083,2.858160813
7,22,3,15.29271705,11.68343715
3,8,4,10.87728413,8.708210224
7,22,4,15.47307151,11.35608841
1,14,4,9.818582177,7.226333592
6,14,3,14.08464232,10.91838768
1,7,3,9.453270634,6.788873143
5,25,4,13.84960057,11.60519175
3,36,2,12.04780555,11.65370002
0,8,4,9.095397023,6.02339954
3,7,4,10.75154406,8.522529897
5,19,4,13.48242984,10.94420462
1,36,2,10.37068741,9.771066822
3,15,3,11.55842071,9.260459475
3,64,5,12.71123677,11.29721127
7,4,5,14.31995431,7.603452483
2,64,5,11.99823782,10.37986031
0,19,4,10.05663772,6.792884914
5,14,3,13.12686577,10.29174742
5,7,3,12.73914771,10.03234148
5,7,4,12.51619248,10.18870654
8,7,4,14.86186234,10.54260113
3,35,4,12.12250448,11.53122277
4,7,4,11.67065625,9.510868147
2,7,3,10.10983065,7.761616662
7,7,4,14.2209073,10.258294
3,14,3,11.30206767,9.014280996
8,4,5,15.16030477,7.802506965
1,35,4,10.509775,9.767290131
7,19,4,15.22422783,10.89274601
5,22,3,13.66810937,10.97174771
5,14,4,13.20579325,10.46604202
1,8,3,9.550746785,6.980023448
1,19,4,10.07815081,7.739010861
4,2,5,10.46760555,7.448730092
7,15,4,15.06659378,10.79590938
6,19,4,14.33998915,10.79276682
2,32,5,11.98156728,9.663789749
8,25,4,16.20472396,11.73287415
2,22,3,10.88034881,9.129408807
3,25,4,12.04916787,10.51527408
6,25,3,14.64103567,11.28664203
4,4,5,11.41837972,8.441542305
5,35,3,13.61401961,13.00194029
8,25,3,16.24881706,12.12185067
