Width,Complexity,Fifo,Multiplier,Energy-,Inv_runtime-
3,1,1,10,8.211464912,5.019398421
4,0,1,1,6.713338396,4.726862484
4,0,4,50,8.900257005,5.101620629
6,0,1,2,6.376724488,5.007683559
7,1,1,50,8.880039571,5.119684617
4,1,3,50,9.037629313,5.100760951
5,1,4,1,6.951937423,4.79503586
5,0,1,2,6.536876618,4.976903632
6,1,2,5,7.121688916,5.0697917
6,0,4,50,8.797687462,5.118824889
5,0,3,2,6.536861081,4.97692226
7,1,1,100,9.726829514,5.123157473
4,0,1,20,7.958239493,5.096536076
6,1,1,100,9.740247934,5.121424796
6,1,3,100,9.740247934,5.121424796
5,0,1,5,6.849711592,5.068119779
3,1,4,20,8.548710187,5.046250314
3,0,4,1,7.285531686,4.401580549
6,0,2,1,6.24014257,4.894785504
3,1,3,20,8.548710187,5.046250314
4,0,4,5,7.075885561,5.041577674
6,1,3,2,6.867241668,4.983829961
6,1,1,5,7.121699275,5.069765971
7,0,1,50,8.780969477,5.120554394
6,0,1,100,9.682815552,5.121427207
3,0,3,2,7.353587949,4.71815563
3,1,1,100,9.965784285,5.066154451
7,0,2,100,9.672985692,5.123159887
4,1,4,50,9.037629313,5.100760951
3,0,2,1,7.285531686,4.401580549
3,1,3,50,9.251482411,5.059483872
3,1,4,5,8.014260434,4.927881398
3,0,2,2,7.353587949,4.71815563
5,1,4,20,8.059182199,5.107607992
7,1,2,20,7.937150152,5.112800375
7,0,1,1,6.144515496,4.923426501
4,1,2,1,7.254650728,4.68779634
3,0,4,2,7.353587949,4.71815563
5,0,2,2,6.536861081,4.97692226
5,0,3,100,9.702370112,5.117968127
4,0,3,100,9.746890481,5.104194403
6,0,2,100,9.682815552,5.121427207
4,1,2,10,7.782709969,5.080357077
6,1,4,100,9.740247934,5.121424796
5,1,2,100,9.766851864,5.117965171
5,0,2,100,9.702370112,5.117968127
5,0,4,20,7.834932386,5.110228707
4,0,4,2,6.812883235,4.915289944
5,0,1,1,6.415403762,4.83712609
3,0,4,20,8.239068608,5.051194744
5,1,3,50,8.947271652,5.114503927
5,1,2,20,8.059182199,5.107607992
7,1,2,100,9.726829514,5.123157473
6,1,3,20,7.978390142,5.111081381
6,0,1,20,7.772288178,5.11366646
3,0,3,10,7.807606084,5.029858801
7,0,2,5,6.656067274,5.083255384
4,0,2,20,7.958239493,5.096536076
7,0,1,10,7.113783832,5.104157682
4,0,2,10,7.429866991,5.085422986
