Max_spout,Spliters,Counters,Throughput+,Latency-
1000,1,12,25936,446.51
100,1,3,21959,53.857
1000,3,9,22074,480.99
1000,2,12,38846,299.2
1,3,3,5591.7,1.9243
1.00E+06,1,3,58279,88542
1.00E+05,1,3,18463,48084
10,3,12,17287,6.1786
1,2,12,4686.7,2.2306
10000,1,9,21076,5170.7
10,1,1,9276.1,12.039
100,1,18,23184,47.306
10,2,15,22447,4.7671
10000,1,3,18950,5687.4
1.00E+05,1,18,21202,45261
1.00E+05,6,15,27609,931.89
10,1,9,15355,7.2769
100,2,1,9506.6,109.87
1.00E+05,1,12,22344,43826
1000,3,12,25959,435.89
10000,6,18,29288,898.52
1.00E+06,2,18,53112,69276
1.00E+05,3,18,21210,1826.1
100,6,6,24578,38.387
1,1,3,4508.5,2.2534
1.00E+05,1,6,19583,46923
10000,3,15,22331,1447.1
10,3,15,16905,6.2653
1,2,18,4606.4,2.2191
1.00E+06,3,15,21614,1450.2
10,6,1,8667.5,12.546
1,1,12,4275.4,2.3254
10000,3,6,21413,1751.1
100,2,6,28972,44.161
1000,2,6,31480,342.65
10,2,9,22005,4.774
10000,1,6,20267,5414.6
1000,3,18,23344,433.98
10,2,6,21618,4.8312
1000,2,3,26177,440.59
1,2,15,4643.2,2.2503
10000,2,12,33345,3375.2
10,1,12,15001,6.9301
100,2,3,24998,49.584
1.00E+05,6,6,25775,1066.2
10000,2,18,31974,3259.4
1.00E+05,3,6,21296,1548.2
1.00E+05,1,15,21114,46172
100,2,18,33784,32.883
10,3,18,15905,6.7601
