A,B,C,A-,B-
3,7,4,10.75154406,8.522529897
2,19,3,10.64385619,8.675316106
5,36,2,13.7412563,13.30175662
4,15,4,12.43931146,9.998033505
4,8,4,11.80815977,9.696737108
5,2,5,11.40301202,7.665281857
4,14,3,12.26620091,9.686131921
8,22,3,16.13979114,11.91089241
3,22,4,11.91214086,10.02468971
2,25,4,11.23840474,9.685226919
2,15,4,10.76321237,8.438053168
1,36,2,10.37068741,9.771066822
1,8,5,9.896332404,6.766133409
6,15,3,14.19521839,10.972042
1,7,4,9.477758266,6.860690304
0,36,1,10.65910396,8.8341948
3,16,5,11.95782756,9.621040101
5,35,4,13.8864587,12.99935382
2,36,2,11.22641219,10.67300254
5,7,4,12.51619248,10.18870654
2,35,3,10.7548875,10.60570099
7,14,3,14.72616493,10.75957087
7,19,4,15.22422783,10.89274601
7,36,2,15.48733762,14.60766939
3,8,5,11.49735289,8.659608643
6,64,5,15.7624599,12.82026986
1,8,3,9.550746785,6.980023448
0,4,5,9.019590728,4.849816643
8,8,4,15.02345116,11.03878861
3,4,5,10.53138146,7.654109752
0,2,5,7.971543554,3.83196978
6,8,5,14.31288296,9.170858366
3,2,5,9.668884984,6.792616241
0,19,3,9.824958741,6.771739106
7,22,4,15.47307151,11.35608841
5,14,4,13.20579325,10.46604202
4,35,3,12.69913863,12.15636984
3,19,4,11.70043972,9.61497325
2,7,4,10.07146236,7.804959873
1,14,3,9.832890014,7.256973697
1,2,5,8.113742166,4.866478395
4,2,5,10.46760555,7.448730092
3,36,1,11.77231457,11.47418769
7,8,5,15.31603399,7.679359363
6,36,1,14.48179943,13.70214888
6,1,5,11.43201985,6.942698771
0,15,4,9.821773982,6.445010442
0,1,5,7.098032083,2.858160813
0,8,5,9.97441459,5.773587653
4,8,3,11.97835296,9.557560706
