Max_spout,Spliters,Counters,Throughput+,Latency-
1.00E+06,4,9,51861,857.03
1,5,14,6400.4,1.5555
1,3,7,7266.3,1.4241
1,6,5,7532.7,1.3448
1000,1,17,64267,155.39
10,5,11,28365,3.4786
10000,6,13,46248,522.78
1.00E+05,2,12,79475,10377
100,2,17,55616,17.036
1000,6,9,47213,181.57
1000,5,1,30328,339.94
10,2,16,30324,3.2671
10000,4,4,39796,891.95
10000,1,18,64152,1565.8
1000,1,16,70644,142.51
1000,3,12,60301,165.5
1.00E+06,3,3,43923,834.66
1000,6,3,43097,217.53
10,5,15,28524,3.5358
1,1,14,5042.6,1.9422
1000,3,6,56000,192.73
10,3,3,31820,3.173
10000,2,17,78121,1279.5
1,6,2,7496.3,1.3678
100,2,1,39997,25.032
1,3,4,7463.5,1.3638
1000,2,16,63510,116.06
10000,2,15,79489,1165.2
100,2,13,57293,15.94
10000,2,6,64663,1539
10000,4,7,58163,722.58
1.00E+06,6,13,47157,529.31
1.00E+05,2,8,61056,14804
1,3,3,7094.5,1.4339
1.00E+05,5,5,44880,841.33
1.00E+05,4,9,52139,816.63
1.00E+06,2,16,69749,309.65
10,1,17,27657,3.6694
100,4,3,39276,26.5
1.00E+05,3,8,57748,737.65
100,4,12,50747,19.686
100,3,3,45752,21.69
1.00E+05,6,4,43977,662.96
100,4,16,52702,18.764
1000,4,14,55946,181.57
1000,5,18,59279,171.49
1.00E+05,2,14,75299,10531
1000,3,1,53563,187.28
1.00E+05,3,2,64186,709.56
1.00E+06,5,6,42877,863.05
1,4,8,6386.8,1.531
1.00E+06,2,8,80544,30348
1.00E+06,2,12,79508,17401
1.00E+05,5,9,55332,800.45
1.00E+05,6,7,38731,827.65
1,1,15,5257.5,1.9272
100,3,7,49943,20.323
10000,3,11,58125,823.45
1.00E+06,6,17,45327,520.84
100,4,10,50731,20.16
1,6,10,7591,1.3139
1.00E+06,6,12,45814,514.16
1,1,5,5534.5,1.8374
10000,4,9,53002,914.21
10000,4,11,54605,791.7
1000,3,7,48022,213.83
100,4,4,42733,24.039
1,3,18,6296.5,1.6335
1.00E+05,3,16,59252,868.23
100,1,6,51659,20.06
10,6,1,30328,3.3034
1000,4,4,43890,231.82
10000,5,1,26744,1486.5
100,3,5,48057,20.875
1,4,3,7331.2,1.3902
1.00E+05,6,10,44348,551.68
1000,3,14,60581,167.99
10,1,10,28244,3.4636
1,3,15,6513.8,1.5659
10000,5,5,46750,815.89
1,2,17,5381,1.9208
1,5,13,6373.1,1.5647
1.00E+06,2,1,36750,94553
100,6,1,46071,21.241
1000,2,6,53012,197.96
1.00E+06,2,9,80590,23656
10,2,5,32465,3.0701
10000,1,9,64300,1468.8
1000,3,15,57738,170.5
1.00E+05,2,16,70660,503.57
1,1,13,5201.2,1.9178
1000,6,8,49745,161.93
1000,4,13,58388,171.97
10000,6,5,43547,681.48
1,6,7,7767.6,1.331
10,5,3,28968,3.4356
1000,3,3,45915,222.66
10000,3,14,57828,792.73
1.00E+06,6,6,43657,618.01
100,1,10,53349,18.9
1,2,1,5698.4,1.8184
10,1,3,28894,3.4678
1.00E+05,6,14,45790,487.01
10,3,7,30044,3.3138
1000,1,6,55423,176.69
1.00E+05,4,13,55815,876.54
10000,4,18,53160,836.73
1.00E+05,3,4,53934,1229.4
1000,6,15,49308,170.22
1000,5,3,41825,252.3
10,6,13,30842,3.226
10,4,1,28420,3.4374
10,5,8,30839,3.3064
1.00E+05,4,10,54938,759.54
1.00E+06,1,7,65052,71448
1,4,11,6509,1.6195
100,6,18,45666,19.374
100,1,7,52115,19.205
1.00E+05,4,7,55388,796.09
10000,6,18,46995,591.56
1,2,9,5406,1.8264
1,2,16,5424,1.8711
1.00E+05,6,18,47520,601.95
10,4,18,28001,3.4593
100,6,2,51600,19.351
1.00E+06,3,11,57489,707.08
1000,3,16,59858,172.84
1,5,4,6534.9,1.5195
10,5,10,30269,3.3514
100,2,12,54774,17.333
1.00E+06,3,15,59941,860.92
100,5,7,48844,20.129
100,6,17,42239,21.375
1000,6,13,48802,169.2
10,2,11,30705,3.2506
10000,6,7,40972,835.76
1.00E+06,6,5,42758,696.02
100,3,14,55033,18.287
1.00E+06,4,1,73975,27361
1,1,2,5552.9,1.8259
100,5,1,30879,32.695
10,2,14,29973,3.3283
100,5,6,44432,22.501
1,6,3,7680.7,1.3299
10000,1,2,58503,1682.6
1,4,6,7207,1.4109
10000,4,13,58281,784.23
10,6,17,29777,3.3335
1000,5,5,49159,205.99
1.00E+05,6,17,44254,652.28
1.00E+05,6,15,47606,525.63
10,3,8,30063,3.3333
10,5,1,29790,3.3747
1,4,17,6151.7,1.6312
1.00E+06,3,16,54812,796.91
1.00E+05,6,12,44941,539.73
100,6,16,46773,19.903
1.00E+06,5,2,36078,1020.6
10,2,6,32716,3.0902
1000,2,17,69097,127.68
