A,B,C,A-,B-
3,2,5,9.668884984,6.792616241
2,36,2,11.22641219,10.67300254
3,35,3,11.82296909,11.46040144
0,25,3,10.23122118,7.792134629
2,36,1,10.67419227,10.66419664
5,8,4,12.64543328,10.30355742
0,14,3,9.758223215,6.237731986
0,64,5,11.35810171,8.757891433
7,8,3,14.12129067,9.970627688
0,36,2,10.76983784,8.765405487
3,19,4,11.70043972,9.61497325
7,25,3,15.4098881,11.39965412
5,19,3,13.32080055,10.78326081
7,8,4,14.35211241,10.73711949
5,7,3,12.73914771,10.03234148
4,1,5,9.592457037,6.564959804
7,2,5,13.31797782,7.558295565
2,22,3,10.88034881,9.129408807
3,25,3,11.83683936,10.53995576
3,22,4,11.91214086,10.02468971
2,15,4,10.76321237,8.438053168
1,14,4,9.818582177,7.226333592
2,2,5,8.781359714,5.841435146
7,14,4,14.95205868,10.59315425
7,4,5,14.31995431,7.603452483
8,1,5,13.30976054,7.537930924
7,22,3,15.29271705,11.68343715
1,8,4,9.411510988,7.018112284
0,7,3,8.924812504,5.870474631
3,14,3,11.30206767,9.014280996
3,32,5,12.84588203,10.53302527
4,64,5,13.66733334,12.29857337
1,7,4,9.477758266,6.860690304
2,19,3,10.64385619,8.675316106
8,25,4,16.20472396,11.73287415
2,16,5,11.08812569,8.690660805
2,7,3,10.10983065,7.761616662
8,25,3,16.24881706,12.12185067
2,8,3,10.23840474,7.899903708
3,35,4,12.12250448,11.53122277
2,64,5,11.99823782,10.37986031
7,15,4,15.06659378,10.79590938
5,22,3,13.66810937,10.97174771
2,7,4,10.07146236,7.804959873
6,35,3,14.60623169,13.35981593
7,36,2,15.48733762,14.60766939
1,32,5,11.03960452,8.783424695
1,22,4,10.32305476,8.210060462
3,7,3,10.88798213,8.553987328
0,35,4,10.78381676,8.77675046
