Width,Complexity,Fifo,Multiplier,Energy-,Inv_runtime-
3,1,4,10,8.211260476,5.020146292
3,1,4,20,8.548710187,5.046250314
6,0,1,100,9.682815552,5.121427207
5,0,1,100,9.702370112,5.117968127
3,0,3,50,9.069460509,5.061161897
7,0,1,2,6.290129465,5.022484651
7,0,2,100,9.672985692,5.123159887
4,1,1,1,7.255406313,4.676592316
4,0,1,10,7.429866991,5.085429501
3,1,3,2,7.881933754,4.679288806
6,1,4,100,9.740247934,5.121424796
4,1,2,5,7.513253856,5.031756014
4,1,4,20,8.21162552,5.093925707
6,0,1,2,6.376724488,5.007683559
4,1,3,2,7.32378437,4.892895336
7,1,1,20,7.937150152,5.112800375
4,1,4,5,7.513253856,5.031756014
3,0,2,2,7.353587949,4.71815563
7,1,3,1,6.673217192,4.878750454
4,0,4,20,7.958239493,5.096536076
3,0,2,100,9.858304322,5.066162087
4,0,2,50,8.900257005,5.101620629
7,1,1,50,8.880039571,5.119684617
7,1,3,50,8.880039571,5.119684617
7,1,1,2,6.775695869,4.998368761
3,0,3,5,7.540786742,4.946186618
5,1,4,10,7.578983985,5.093914226
6,1,2,1,6.771370616,4.850979895
7,1,3,20,7.937150152,5.112800375
6,1,3,50,8.902718788,5.117955552
5,0,3,2,6.536861081,4.97692226
4,1,3,50,9.037629313,5.100760951
5,0,2,100,9.702370112,5.117968127
5,1,1,10,7.578999076,5.093870967
5,0,2,50,8.830730684,5.115372185
4,1,3,100,9.824529208,5.104190483
3,0,3,1,7.285531686,4.401580549
5,0,4,50,8.830730684,5.115372185
6,0,2,100,9.682815552,5.121427207
7,1,1,5,7.04617453,5.073143505
3,0,3,20,8.239068608,5.051194744
4,1,3,10,7.782709969,5.08035737
5,1,1,1,6.9502351,4.792766697
7,1,3,5,7.04617453,5.07314603
7,0,1,5,6.656067274,5.083255384
7,1,1,100,9.726829514,5.123157473
4,0,4,5,7.075885561,5.041577674
6,0,2,2,6.376724488,5.00769312
3,1,2,5,8.014260434,4.927881398
5,0,1,1,6.415403762,4.83712609
4,0,3,50,8.900257005,5.101620629
5,1,3,50,8.947271652,5.114503927
4,0,1,100,9.746890481,5.104194403
4,1,4,2,7.32378437,4.892895336
3,1,2,10,8.211265344,5.02012911
6,1,1,2,6.867254025,4.983722136
6,0,1,50,8.797687462,5.118824889
3,0,1,2,7.353605591,4.718020678
5,0,3,1,6.415403762,4.837142461
7,0,2,1,6.144515496,4.923426501
