A,B,C,A-,B-
0,15,4,9.821773982,6.445010442
0,1,5,7.098032083,2.858160813
3,35,3,11.82296909,11.46040144
3,1,5,8.727920455,5.793273955
0,32,5,11.19721669,7.586631221
0,8,5,9.97441459,5.773587653
3,19,4,11.70043972,9.61497325
6,64,5,15.7624599,12.82026986
2,19,4,10.92407019,8.752437003
2,16,5,11.08812569,8.690660805
1,35,4,10.509775,9.767290131
2,35,4,11.35093918,10.65835576
1,36,2,10.37068741,9.771066822
4,32,5,13.76103174,11.00016159
0,8,3,9.154818109,6.035372181
1,35,3,10.31741261,9.749795131
2,25,4,11.23840474,9.685226919
1,1,5,7.087462841,3.866651431
8,7,4,14.86186234,10.54260113
4,35,4,12.72792045,11.83287847
2,4,5,9.741466986,6.77445112
4,8,5,12.41864325,9.433253026
7,4,5,14.31995431,7.603452483
2,36,1,10.67419227,10.66419664
2,64,5,11.99823782,10.37986031
2,15,4,10.76321237,8.438053168
0,35,4,10.78381676,8.77675046
3,7,4,10.75154406,8.522529897
4,8,3,11.97835296,9.557560706
7,8,5,15.31603399,7.679359363
4,64,5,13.66733334,12.29857337
8,8,3,15.23032072,10.96473646
0,16,5,10.39231742,6.757812147
1,15,4,9.914385132,7.422663507
7,15,4,15.06659378,10.79590938
6,7,3,13.56902487,10.19925538
8,2,5,14.21720042,7.276899329
1,4,5,9.038918989,5.849099186
6,4,5,13.26737193,8.566591824
5,15,3,13.27888499,10.37268453
1,14,3,9.832890014,7.256973697
4,25,3,12.79095933,11.14327081
7,14,4,14.95205868,10.59315425
2,15,3,10.58402294,8.346562042
1,25,4,10.49385545,8.767953287
6,15,3,14.19521839,10.972042
0,36,2,10.76983784,8.765405487
7,7,4,14.2209073,10.258294
1,7,3,9.453270634,6.788873143
3,32,5,12.84588203,10.53302527
