Spout_wait,Spliters,Counters,Throughput+,Latency-
60000,1,17,203.2,36592
2,4,9,10229,275.8
1,5,14,9378.8,267.26
2,5,9,9906.6,277.4
7,2,15,7655.1,346.78
4,4,3,10177,268.72
10,6,8,7568.9,360.4
100,4,6,6772.6,450.14
5,4,15,10732,261.57
8,5,18,7452.1,372.21
8,3,2,7493.8,364.9
3,4,13,10353,267.47
10,1,8,5448.4,501.27
9,2,17,7039.2,404.93
7,2,13,7864.1,361.65
7,6,6,6844.9,373.89
10000,5,5,380.38,7246.1
8,5,5,6666.4,394.88
4,4,12,9403.1,268.97
1,2,10,9157.3,314.64
7,5,12,6504.3,410.13
3,5,6,10239,269.4
9,4,15,7569.9,358.85
2,5,4,9311.9,287.58
5,3,1,10617,275.71
1,5,7,10170,275.25
7,4,13,8379.3,337.84
9,4,11,7716.1,362.23
5,4,7,8830.8,275.77
9,3,11,7763.8,360.24
10,1,13,5002.4,560.1
100,3,15,7183.9,379.65
1,5,6,9755.6,278.02
1000,3,9,2607.7,1017.1
1000,1,17,2517.2,1030.1
10000,4,13,315.12,8303.2
3,2,16,8445.6,305.8
6,1,6,7543.1,372.84
100,5,16,7209.7,368.36
60000,4,15,264.5,31088
6,2,5,9654.9,306.42
5,5,5,9700.1,281.69
1000,5,8,2642.4,951.19
6,2,13,8194.6,305.47
8,2,9,6622,430.83
8,4,17,7312.8,373.47
100,4,10,6983.7,393.01
7,5,1,7917.9,372.18
100,5,4,7666.4,393.47
2,1,15,7048.7,366.02
